ID,Title,DOI,Link,Author,Abstract,Type,Subject,PublishedDate
DOI:10.1038/s41421-020-0168-9,Immune cell profiling of COVID-19 patients in the recovery stage by single-cell sequencing,10.1038/s41421-020-0168-9,/articles/s41421-020-0168-9,Wen Wen,"COVID-19, caused by SARS-CoV-2, has recently affected over 1,200,000 people and killed more than 60,000. The key immune cell subsets change and their states during the course of COVID-19 remain unclear. We sought to comprehensively characterize the transcriptional changes in peripheral blood mononuclear cells during the recovery stage of COVID-19 by single-cell RNA sequencing technique. It was found that T cells decreased remarkably, whereas monocytes increased in patients in the early recovery stage (ERS) of COVID-19. There was an increased ratio of classical CD14++ monocytes with high inflammatory gene expression as well as a greater abundance of CD14++IL1β+ monocytes in the ERS. CD4+ T cells and CD8+ T cells decreased significantly and expressed high levels of inflammatory genes in the ERS. Among the B cells, the plasma cells increased remarkably, whereas the naïve B cells decreased. Several novel B cell-receptor (BCR) changes were identified, such as IGHV3-23 and IGHV3-7, and isotypes (IGHV3-15, IGHV3-30, and IGKV3-11) previously used for virus vaccine development were confirmed. The strongest pairing frequencies, IGHV3-23-IGHJ4, indicated a monoclonal state associated with SARS-CoV-2 specificity, which had not been reported yet. Furthermore, integrated analysis predicted that IL-1β and M-CSF may be novel candidate target genes for inflammatory storm and that TNFSF13, IL-18, IL-2, and IL-4 may be beneficial for the recovery of COVID-19 patients. Our study provides the first evidence of an inflammatory immune signature in the ERS, suggesting COVID-19 patients are still vulnerable after hospital discharge. Identification of novel BCR signaling may lead to the development of vaccines and antibodies for the treatment of COVID-19.",Research,Cell Discovery,2020-05-04
DOI:10.1038/s41375-020-0876-z,Management of patients with multiple myeloma in the era of COVID-19 pandemic: a consensus paper from the European Myeloma Network (EMN),10.1038/s41375-020-0876-z,/articles/s41375-020-0876-z,Evangelos Terpos,"Patients with multiple myeloma (MM) seem to be at increased risk for more severe COVID-19 infection and associated complications due to their immunocompromised state, the older age and comorbidities. The European Myeloma Network has provided an expert consensus statement in order to guide therapeutic decisions in the era of the COVID-19 pandemic. Patient education for personal hygiene and social distancing measures, along with treatment individualization, telemedicine and continuous surveillance for early diagnosis of COVID-19 are essential. In countries or local communities where COVID-19 infection is widely spread, MM patients should have a PCR test of nasopharyngeal swab for SARS-CoV-2 before hospital admission, starting a new treatment line, cell apheresis or ASCT in order to avoid ward or community spread and infections. Oral agent-based regimens should be considered, especially for the elderly and frail patients with standard risk disease, whereas de-intensified regimens for dexamethasone, bortezomib, carfilzomib and daratumumab should be used based on patient risk and response. Treatment initiation should not be postponed for patients with end organ damage, myeloma emergencies and aggressive relapses. Autologous (and especially allogeneic) transplantation should be delayed and extended induction should be administered, especially in standard risk patients and those with adequate MM response to induction. Watchful waiting should be considered for standard risk relapsed patients with low tumor burden, and slow biochemical relapses. The conduction of clinical trials should continue with appropriate adaptations to the current circumstances. Patients with MM and symptomatic COVID-19 disease should interrupt anti-myeloma treatment until recovery. For patients with positive PCR test for SARS-CoV-2, but with no symptoms for COVID-19, a 14-day quarantine should be considered if myeloma-related events allow the delay of treatment. The need for surveillance for drug interactions due to polypharmacy is highlighted. The participation in international COVID-19 cancer registries is greatly encouraged.",Reviews,Leukemia,2020-05-22
DOI:10.1038/s41591-020-0931-3,Artificial intelligence–enabled rapid diagnosis of patients with COVID-19,10.1038/s41591-020-0931-3,/articles/s41591-020-0931-3,Xueyan Mei,"For diagnosis of coronavirus disease 2019 (COVID-19), a SARS-CoV-2 virus-specific reverse transcriptase polymerase chain reaction (RT–PCR) test is routinely used. However, this test can take up to 2 d to complete, serial testing may be required to rule out the possibility of false negative results and there is currently a shortage of RT–PCR test kits, underscoring the urgent need for alternative methods for rapid and accurate diagnosis of patients with COVID-19. Chest computed tomography (CT) is a valuable component in the evaluation of patients with suspected SARS-CoV-2 infection. Nevertheless, CT alone may have limited negative predictive value for ruling out SARS-CoV-2 infection, as some patients may have normal radiological findings at early stages of the disease. In this study, we used artificial intelligence (AI) algorithms to integrate chest CT findings with clinical symptoms, exposure history and laboratory testing to rapidly diagnose patients who are positive for COVID-19. Among a total of 905 patients tested by real-time RT–PCR assay and next-generation sequencing RT–PCR, 419 (46.3%) tested positive for SARS-CoV-2. In a test set of 279 patients, the AI system achieved an area under the curve of 0.92 and had equal sensitivity as compared to a senior thoracic radiologist. The AI system also improved the detection of patients who were positive for COVID-19 via RT–PCR who presented with normal CT scans, correctly identifying 17 of 25 (68%) patients, whereas radiologists classified all of these patients as COVID-19 negative. When CT scans and associated clinical history are available, the proposed AI system can help to rapidly diagnose COVID-19 patients.",Research,Nature Medicine,2020-05-19
DOI:10.1038/s41431-020-0637-5,"Connecting data, tools and people across Europe: ELIXIR’s response to the COVID-19 pandemic",10.1038/s41431-020-0637-5,/articles/s41431-020-0637-5,Niklas Blomberg,"ELIXIR, the European research infrastructure for life science data, provides open access to data, tools and workflows in the response to the COVID-19 pandemic. ELIXIR’s 23 nodes have reacted swiftly to support researchers in their combined efforts against the pandemic setting out three joint priorities: 1. Connecting national COVID-19 data platforms to create federated European COVID-19 Data Spaces; 2. Fostering good data management to make COVID-19 data open, FAIR and reusable over the long term; 3. Providing open tools, workflows and computational resources to drive reproducible and collaborative science. ELIXIR’s strategy is based on the support given by our national nodes - collectively spanning over 200 institutes - to research projects and on partnering with community initiatives to drive development and adoption of good data practice and community driven standards. ELIXIR Nodes provide support activities locally and internationally, from provisioning compute capabilities to helping collect viral sequence data from hospitals. Some Nodes have prioritised access to their national cloud and compute facilities for all COVID-19 research projects, while others have developed tools to search, access and share all data related to the pandemic in a national healthcare setting.",Reviews,European Journal of Human Genetics,2020-05-15
DOI:10.1038/s41375-020-0836-7,COVID-19 in persons with haematological cancers,10.1038/s41375-020-0836-7,/articles/s41375-020-0836-7,Wenjuan He,"Infection with SARS-CoV-2, the cause of coronavirus infectious disease–19 (COVID-19), has caused a pandemic with >850,000 cases worldwide and increasing. Several studies report outcomes of COVID-19 in predominately well persons. There are also some data on COVID-19 in persons with predominately solid cancer but controversy whether these persons have the same outcomes. We conducted a cohort study at two centres in Wuhan, China, of 128 hospitalised subjects with haematological cancers, 13 (10%) of whom developed COVID-19. We also studied 226 health care providers, 16 of whom developed COVID-19 and 11 of whom were hospitalised. Co-variates were compared with the 115 subjects with haematological cancers without COVID-19 and with 11 hospitalised health care providers with COVID-19. There were no significant differences in baseline co-variates between subjects with haematological cancers developing or not developing COVID-19. Case rates for COVID-19 in hospitalised subjects with haematological cancers was 10% (95% Confidence Interval [CI], 6, 17%) compared with 7% (4, 12%; P = 0.322) in health care providers. However, the 13 subjects with haematological cancers had more severe COVID-19 and more deaths compared with hospitalised health care providers with COVID-19. Case fatality rates were 62% (32, 85%) and 0 (0, 32%; P = 0.002). Hospitalised persons with haematological cancers have a similar case rate of COVID-19 compared with normal health care providers but have more severe disease and a higher case fatality rate. Because we were unable to identify specific risk factors for COVID-19 in hospitalised persons with haematological cancers, we suggest increased surveillance and possible protective isolation.",Research,Leukemia,2020-04-24
DOI:10.1038/s41372-020-0695-0,Management of newborns exposed to mothers with confirmed or suspected COVID-19,10.1038/s41372-020-0695-0,/articles/s41372-020-0695-0,Shaili Amatya,"There is limited information about newborns with confirmed or suspected COVID-19. Particularly in the hospital after delivery, clinicians have refined practices in order to prevent secondary infection. While guidance from international associations is continuously being updated, all facets of care of neonates born to women with confirmed or suspected COVID-19 are center-specific, given local customs, building infrastructure constraints, and availability of protective equipment. Based on anecdotal reports from institutions in the epicenter of the COVID-19 pandemic close to our hospital, together with our limited experience, in anticipation of increasing numbers of exposed newborns, we have developed a triage algorithm at the Penn State Hospital at Milton S. Hershey Medical Center that may be useful for other centers anticipating a similar surge. We discuss several care practices that have changed in the COVID-19 era including the use of antenatal steroids, delayed cord clamping (DCC), mother–newborn separation, and breastfeeding. Moreover, this paper provides comprehensive guidance on the most suitable respiratory support for newborns during the COVID-19 pandemic. We also present detailed recommendations about the discharge process and beyond, including providing scales and home phototherapy to families, parental teaching via telehealth and in-person education at the doors of the hospital, and telehealth newborn follow-up.",Reviews,Journal of Perinatology,2020-05-21
DOI:10.1038/s41577-020-0331-4,Pathological inflammation in patients with COVID-19: a key role for monocytes and macrophages,10.1038/s41577-020-0331-4,/articles/s41577-020-0331-4,Miriam Merad,"The COVID-19 pandemic caused by infection with SARS-CoV-2 has led to more than 200,000 deaths worldwide. Several studies have now established that the hyperinflammatory response induced by SARS-CoV-2 is a major cause of disease severity and death in infected patients. Macrophages are a population of innate immune cells that sense and respond to microbial threats by producing inflammatory molecules that eliminate pathogens and promote tissue repair. However, a dysregulated macrophage response can be damaging to the host, as is seen in the macrophage activation syndrome induced by severe infections, including in infections with the related virus SARS-CoV. Here we describe the potentially pathological roles of macrophages during SARS-CoV-2 infection and discuss ongoing and prospective therapeutic strategies to modulate macrophage activation in patients with COVID-19.",Reviews,Nature Reviews Immunology,2020-05-06
DOI:10.1038/s41375-020-0853-6,COVID-19 in persons with chronic myeloid leukaemia,10.1038/s41375-020-0853-6,/articles/s41375-020-0853-6,Weiming Li,"We studied by questionnaire 530 subjects with chronic myeloid leukaemia (CML) in Hubei Province during the recent SARS-CoV-2 epidemic. Five developed confirmed (N = 4) or probable COVID-19 (N = 1). Prevalence of COVID-19 in our subjects, 0.9% (95% Confidence Interval, 0.1, 1.8%) was ninefold higher than 0.1% (0, 0.12%) reported in normals but lower than 10% (6, 17%) reported in hospitalised persons with other haematological cancers or normal health-care providers, 7% (4, 12%). Co-variates associated with an increased risk of developing COVID-19 amongst persons with CML were exposure to someone infected with SARS-CoV-2 (P = 0.037), no complete haematologic response (P = 0.003) and co-morbidity(ies) (P = 0.024). There was also an increased risk of developing COVID-19 in subjects in advanced phase CML (P = 0.004) even when they achieved a complete cytogenetic response or major molecular response at the time of exposure to SARS-CoV-2. 1 of 21 subjects receiving 3rd generation tyrosine kinase-inhibitor (TKI) developed COVID-19 versus 3 of 346 subjects receiving imatinib versus 0 of 162 subjects receiving 2nd generation TKIs (P = 0.096). Other co-variates such as age and TKI-therapy duration were not significantly associated with an increased risk of developing COVID-19. Persons with these risk factors may benefit from increased surveillance of SARS-CoV-2 infection and possible protective isolation.",Research,Leukemia,2020-05-18
DOI:10.1038/s41591-020-0901-9,Single-cell landscape of bronchoalveolar immune cells in patients with COVID-19,10.1038/s41591-020-0901-9,/articles/s41591-020-0901-9,Mingfeng Liao,Respiratory immune characteristics associated with Coronavirus Disease 2019 (COVID-19) severity are currently unclear. We characterized bronchoalveolar lavage fluid immune cells from patients with varying severity of COVID-19 and from healthy people by using single-cell RNA sequencing. Proinflammatory monocyte-derived macrophages were abundant in the bronchoalveolar lavage fluid from patients with severe COVID-9. Moderate cases were characterized by the presence of highly clonally expanded CD8+ T cells. This atlas of the bronchoalveolar immune microenvironment suggests potential mechanisms underlying pathogenesis and recovery in COVID-19.,Research,Nature Medicine,2020-05-12
DOI:10.1038/s41394-020-0288-3,Clinical features of coronavirus disease 2019 (COVID-19) in a cohort of patients with disability due to spinal cord injury,10.1038/s41394-020-0288-3,/articles/s41394-020-0288-3,Miguel Rodríguez-Cola,"Study designCohort study of patients with spinal cord injury (SCI).ObjectivesTo describe the clinical and analytical features of a coronavirus disease 2019 (Covid-19) infected cohort with SCI to enable accurate diagnosis and to outline prevention measures.SettingThis study was conducted at the National Hospital for Paraplegics (Toledo, Spain).MethodsA cohort analysis of seven patients with SCI infected by Covid-19 was performed. Diagnosis was confirmed with reverse transcriptase polymerase chain reaction (RT-PCR) of nasal exudate or sputum samples. Clinical, analytical, and radiographic findings were registered.ResultsRT-PCR detected COVID-19 infection in all patients, affecting males and people with a cervical level of injury more often (five out of seven). The average delay for diagnostic confirmation was 4 days (interquartile range, 1–10). Fever was the most frequent symptom (six out of seven). The second most common symptom was asthenia (four out of seven), followed by dyspnea, cough, and expectoration (three out of seven for each symptom). The Modified Early Warning System score for Covid-19 severity rating was classified as severe in five out of seven cases. All but one patient showed radiological alterations evident in chest X-rays at the time of diagnosis. All patients recovered gradually.ConclusionOur patients with SCI and Covid-19 infection exhibited fewer symptoms than the general population. Furthermore, they presented similar or greater clinical severity. The clinical evolution was not as pronounced as had been expected. This study recommends close supervision of the SCI population to detect early compatible signs and symptoms of Covid-19 infection.",Research,Spinal Cord Series and Cases,2020-05-13
DOI:10.1038/s41430-020-0652-1,"Diabetes and COVID-19: evidence, current status and unanswered research questions",10.1038/s41430-020-0652-1,/articles/s41430-020-0652-1,Ritesh Gupta,"Patients with diabetes who get coronavirus disease 2019 (COVID-19) are at risk of a severe disease course and mortality. Several factors especially the impaired immune response, heightened inflammatory response and hypercoagulable state contribute to the increased disease severity. However, there are many contentious issues about which the evidence is rather limited. There are some theoretical concerns about the effects of different anti-hyperglycaemic drugs. Similarly, despite the recognition of angiotensin converting enzyme 2 (ACE2) as the receptor for severe acute respiratory syndrome coronavirus 2 (SARS CoV-2), and the role of ACE2 in lung injury; there are conflicting results with the use of angiotensin converting enzyme (ACE) inhibitors and angiotensin receptor blockers (ARB) in these patients. Management of patients with diabetes in times of restrictions on mobility poses some challenges and novel approaches like telemedicine can be useful. There is a need to further study the natural course of COVID-19 in patients with diabetes and to understand the individual, regional and ethnic variations in disease prevalence and course.",Reviews,European Journal of Clinical Nutrition,2020-05-13
DOI:10.1038/s41431-020-0634-8,BBMRI-ERIC’s contributions to research and knowledge exchange on COVID-19,10.1038/s41431-020-0634-8,/articles/s41431-020-0634-8,Petr Holub,"During the COVID-19 pandemic, the European biobanking infrastructure is in a unique position to preserve valuable biological material complemented with detailed data for future research purposes. Biobanks can be either integrated into healthcare, where preservation of the biological material is a fork in clinical routine diagnostics and medical treatment processes or they can also host prospective cohorts or material related to clinical trials. The paper discussed objectives of BBMRI-ERIC, the European research infrastructure established to facilitate access to quality-defined biological materials and data for research purposes, with respect to the COVID-19 crisis: (a) to collect information on available European as well as non-European COVID-19-relevant biobanking resources in BBMRI-ERIC Directory and to facilitate access to these via BBMRI-ERIC Negotiator platform; (b) to help harmonizing guidelines on how data and biological material is to be collected to maximize utility for future research, including large-scale data processing in artificial intelligence, by participating in activities such as COVID-19 Host Genetics Initiative; (c) to minimize risks for all involved parties dealing with (potentially) infectious material by developing recommendations and guidelines; (d) to provide a European-wide platform of exchange in relation to ethical, legal, and societal issues (ELSI) specific to the collection of biological material and data during the COVID-19 pandemic.",Reviews,European Journal of Human Genetics,2020-05-22
DOI:10.1038/s41591-020-0874-8,Caring for patients with cancer in the COVID-19 era,10.1038/s41591-020-0874-8,/articles/s41591-020-0874-8,Joris van de Haar,"The current COVID-19 pandemic challenges oncologists to profoundly re-organize oncological care in order to dramatically reduce hospital visits and admissions and therapy-induced immune-related complications without compromising cancer outcomes. Since COVID-19 is a novel disease, guidance by scientific evidence is often unavailable, and impactful decisions are inevitably made on the basis of expert opinions. Here we report how the seven comprehensive cancer centers of Cancer Core Europe have organized their healthcare systems at an unprecedented scale and pace to make their operations ‘pandemic proof’. We identify and discuss many commonalities, but also important local differences, and pinpoint critical research priorities to enable evidence-based remodeling of cancer care during the COVID-19 pandemic. Also, we discuss how the current situation offers a unique window of opportunity for assessing the effects of de-escalating anticancer regimens, which may fast-forward the development of more-refined and less-toxic treatments. By sharing our joint experiences, we offer a roadmap for proceeding and aim to mobilize the global research community to generate the data that are critically needed to offer the best possible care to patients.",Reviews,Nature Medicine,2020-04-16
DOI:10.1038/s41571-020-0394-y,COVID-19 and cancer: do we really know what we think we know?,10.1038/s41571-020-0394-y,/articles/s41571-020-0394-y,Andrew G. Robinson,,Comments and Opinion,Nature Reviews Clinical Oncology,2020-05-18
