ID,Type,Title,Link,DOI,Authors,Abstract,PublishedDate,Availability
DOI:10.1056/NEJMc2011599,Correspondence,Adaptations and Lessons in the Province of Bergamo,/doi/full/10.1056/NEJMc2011599?query=featured_coronavirus,10.1056/NEJMc2011599,"S. Fagiuoli, F.L. Lorini, and G. Remuzzi",A referral hospital in the hardest-hit region of Italy had to manage a continuously increasing number of daily admissions for Covid-19 after delayed responses in the province allowed for rapid spread of the virus. Nineteen physicians in the province died.,May 05,N/A
DOI:10.1056/NEJMc2010122,Correspondence,French Pandemic Resistance,/doi/full/10.1056/NEJMc2010122?query=featured_coronavirus,10.1056/NEJMc2010122,C. Haug,"Just over 4 years after its ED faced a flood of patients severely wounded in a terrorist attack, a Paris hospital makes large-scale changes to care for people with Covid-19 while preserving access for others needing urgent treatment.",Apr 22,N/A
DOI:10.1056/NEJMoa2006100,Original Article,SARS-CoV-2 in Iceland,/doi/full/10.1056/NEJMoa2006100?query=featured_coronavirus,10.1056/NEJMoa2006100,D.F. Gudbjartsson and Others,"Despite timely implementation of testing for SARS-CoV-2 virus, a contact-tracing scheme, and social-distancing measures, infection has spread in Iceland. However, there was no detected increase in the proportion of infected persons between March 13 and April 4, 2020.",Apr 14,N/A
DOI:10.1056/NEJMp2012114,Perspective,Coronavirus and the Navajo Nation,/doi/full/10.1056/NEJMp2012114?query=featured_coronavirus,10.1056/NEJMp2012114,H. Kovich,"Reports on the severity of the Navajo Nation outbreak don’t mention the community’s diversity of talent and experience, its resourcefulness. Infections from the outside have always found their way here. It’s just infrastructure that hasn’t.",Apr 24,N/A
DOI:10.1056/NEJMc2010419,Correspondence,Covid-19 in New York City,/doi/full/10.1056/NEJMc2010419?query=featured_coronavirus,10.1056/NEJMc2010419,P. Goyal and Others,"In this series of 393 consecutive patients admitted with Covid-19 to two New York City hospitals from March 3 to March 27, a third of patients received invasive mechanical ventilation, 10% of patients died, and 24% were still hospitalized as of April 10.",Apr 17,N/A
DOI:10.1056/NEJMc2013656,Correspondence,Prolonged aPTT in Patients with Covid-19,/doi/full/10.1056/NEJMc2013656?query=featured_coronavirus,10.1056/NEJMc2013656,L. Bowles and Others,"In this study, 20% of patients with Covid-19 had a prolonged activated partial-thromboplastin time (aPTT). In 90% of these cases, the cause was lupus anticoagulant, with no associated bleeding. Patients with Covid-19 are susceptible to thromboses. The presence of a prolonged aPTT should, in general, not be considered a contraindication to anticoagulation.",May 05,N/A
DOI:10.1056/NEJMc2011595,Correspondence,Cancer Management in India during Covid-19,/doi/full/10.1056/NEJMc2011595?query=featured_coronavirus,10.1056/NEJMc2011595,C.S. Pramesh and R.A. Badwe,"India’s largest cancer center adopts a proactive, multipronged approach to providing treatment, while facing the reality that some services must be scaled back during a nationwide lockdown. Prioritization criteria guide treatment decisions.",Apr 28,N/A
DOI:10.1056/NEJMc2008597,Correspondence,Neurologic Features in SARS-CoV-2 Infection,/doi/full/10.1056/NEJMc2008597?query=featured_coronavirus,10.1056/NEJMc2008597,J. Helms and Others,"In a consecutive series of 64 patients with Covid-19 and ARDS, 58 of whom underwent neurologic examination, severe agitation and corticospinal signs were common. In 2 of 13 patients, MRI of the brain showed small acute strokes, and in 1 patient, imaging showed a subacute stroke.",Apr 15,N/A
DOI:10.1056/NEJMc2009567,Correspondence,Covid-19 in Immune-Mediated Inflammatory Diseases,/doi/full/10.1056/NEJMc2009567?query=featured_coronavirus,10.1056/NEJMc2009567,R. Haberman and Others,"The authors describe patients in New York City with known immune-mediated inflammatory disease in whom Covid-19 developed while they were receiving biologics, other immunomodulatory therapies, or both. The incidence of hospitalization among these patients was consistent with that among patients with Covid-19 in the general population in New York City.",Apr 29,N/A
DOI:10.1056/NEJMc2007575,Correspondence,Coagulopathy in Critical Illness with Covid-19,/doi/full/10.1056/NEJMc2007575?query=featured_coronavirus,10.1056/NEJMc2007575,Y. Zhang and Others,"The authors describe a 69-year-old man with Covid-19 diagnosed in January 2020 in Wuhan, China, along with two other critically ill patients with Covid-19 who were also seen in the same intensive care unit. Coagulopathy and antiphospholipid antibodies were seen in all three patients.",Apr 23,N/A
DOI:10.1056/NEJMc2011117,Correspondence,Kidney-Transplant Recipients with Covid-19,/doi/full/10.1056/NEJMc2011117?query=featured_coronavirus,10.1056/NEJMc2011117,E. Akalin and Others,"A cohort of 36 consecutive kidney-transplant recipients had less fever, lower CD3, CD4, and CD8 cell counts, more rapid clinical deterioration, and a higher mortality than the general population of patients with Covid-19.",Apr 24,N/A
DOI:10.1056/NEJMoa2006923,Original Article,Renin–Angiotensin–Aldosterone System Blockers and Covid-19,/doi/full/10.1056/NEJMoa2006923?query=featured_coronavirus,10.1056/NEJMoa2006923,G. Mancia and Others,"This population-based case–control study from northern Italy shows that the use of ACE inhibitors and ARBs was more frequent among patients with Covid-19 because of a higher prevalence of cardiovascular disease. However, there was no evidence that ACE inhibitors and ARBs affected the risk of Covid-19.",May 01,N/A
DOI:10.1056/NEJMoa2008975,Original Article,RAAS Inhibitors and Risk of Covid-19,/doi/full/10.1056/NEJMoa2008975?query=featured_coronavirus,10.1056/NEJMoa2008975,H.R. Reynolds and Others,"There is concern that patients taking renin–angiotensin–aldosterone system blockers have an increased risk of Covid-19, because angiotensin-converting enzyme 2 is a receptor for the virus. This study showed no increase in likelihood of a positive Covid-19 test or severe Covid-19 in patients taking any of five common classes of antihypertensive drugs.",May 01,N/A
DOI:10.1056/NEJMoa2007621,Original Article,"Covid-19, Cardiovascular Disease, and Drug Therapy",/doi/full/10.1056/NEJMoa2007621?query=featured_coronavirus,10.1056/NEJMoa2007621,M.R. Mehra and Others,Data on 8910 patients hospitalized with a diagnosis of Covid-19 were analyzed. Cardiovascular disease was associated with an increased risk of in-hospital death. Neither the use of angiotensin-converting–enzyme inhibitors nor the use of angiotensin-receptor blockers was associated with an increased risk of in-hospital death.,May 01,N/A
DOI:10.1056/NEJMe2012924,Editorial,RAAS Inhibitors and Covid-19,/doi/full/10.1056/NEJMe2012924?query=featured_coronavirus,10.1056/NEJMe2012924,J.A. Jarcho and Others,The editors comment on three Journal articles that provide observational data about whether ACE inhibitors and ARBs are harmful in the context of the Covid-19 epidemic. None of the three studies showed evidence of harm with continued use of these agents.,May 01,N/A
DOI:10.1056/NEJMsr2005760,Special Report,RAAS Inhibitors in Patients with Covid-19,/doi/full/10.1056/NEJMsr2005760?query=featured_coronavirus,10.1056/NEJMsr2005760,M. Vaduganathan and Others,The effects of renin–angiotensin–aldosterone system blockers on angiotensin-converting enzyme 2 levels and activity in humans are uncertain. The authors hypothesize that ACE2 may be beneficial rather than harmful during lung injury and suggest that RAAS-inhibitor withdrawal may be harmful in some high-risk patients with known or suspected Covid-19.,Apr 23,N/A
DOI:10.1056/NEJMc2010418,Correspondence,Out-of-Hospital Cardiac Arrest and Covid-19,/doi/full/10.1056/NEJMc2010418?query=featured_coronavirus,10.1056/NEJMc2010418,E. Baldi and Others,"From February 21 through April 1, 2019, a total of 229 cases of out-of-hospital cardiac arrest were reported in four provinces of Lombardy, Italy. During the same period in 2020 (the first 40 days of the Covid-19 epidemic), 362 cases were reported — a 58% increase. Of the additional 133 cases in 2020, a total of 103 involved suspected or diagnosed Covid-19.",Apr 29,N/A
DOI:10.1056/NEJMc2009787,Correspondence,Stroke in Young Patients with Covid-19,/doi/full/10.1056/NEJMc2009787?query=featured_coronavirus,10.1056/NEJMc2009787,T.J. Oxley and Others,"Five patients younger than 50 years of age with large-vessel stroke and Covid-19 infection presented to a health system in New York City over a 2-week period. The authors report the patients’ clinical characteristics, including the presence or absence of symptoms of Covid-19.",Apr 28,N/A
DOI:10.1056/NEJMc2009020,Correspondence,ST-Segment Elevation in Covid-19,/doi/full/10.1056/NEJMc2009020?query=featured_coronavirus,10.1056/NEJMc2009020,S. Bangalore and Others,"Eighteen patients with Covid-19 presented with ST-segment elevation on ECG or had it develop during hospitalization. Eight patients received a diagnosis of acute myocardial infarction, and 10 had noncoronary myocardial injury. Thirteen patients died in the hospital.",Apr 17,N/A
DOI:10.1056/NEJMc2009166,Correspondence,Acute Coronary Syndrome during Covid-19 Outbreak,/doi/full/10.1056/NEJMc2009166?query=featured_coronavirus,10.1056/NEJMc2009166,O. De Filippo and Others,"During the Covid-19 outbreak in northern Italy, the daily rate of admissions for acute coronary syndrome at 15 hospitals was significantly lower than the rate during two control intervals (13.3 admissions vs. 18.0 and 18.9 admissions for the two control periods).",Apr 28,N/A
DOI:10.1056/NEJMvcm2010260,Videos in Clinical Medicine,How to Obtain a Nasopharyngeal Swab Specimen,/doi/full/10.1056/NEJMvcm2010260?query=featured_coronavirus,10.1056/NEJMvcm2010260,"F.M. Marty, K. Chen, and K.A. Verrill",Collecting specimens from the surface of the respiratory mucosa with nasopharyngeal swabs is a procedure used to diagnose Covid-19 as well as other respiratory viral infections and certain bacterial infections in adults and children. This video describes the collection of specimens for detection of Covid-19.,Apr 17,N/A
DOI:10.1056/NEJMc2008646,Correspondence,Detection of Covid-19 through a Citywide Surveillance Platform,/doi/full/10.1056/NEJMc2008646?query=featured_coronavirus,10.1056/NEJMc2008646,H.Y. Chu and Others,"The Seattle Flu study, initiated in 2018, mailed kits for home collection of midnasal swabs to people reporting respiratory symptoms. From January 1 through March 9, 2020, specimens from 2,353 people were also tested for SARS-CoV-2; 25 (1.1%) tested positive. A specimen collected on February 24, 2020, was the first documented U.S. case of community transmission at the time.",May 01,N/A
DOI:10.1056/NEJMp2003149,Perspective,"Physician Burnout, Interrupted",/doi/full/10.1056/NEJMp2003149?query=featured_coronavirus,10.1056/NEJMp2003149,P. Hartzband and J. Groopman,"The burnout problem won’t be solved without addressing the issues of autonomy, competence, and relatedness. During the Covid-19 pandemic, a sense of altruism and urgency has catalyzed restoration of these pillars of intrinsic motivation. Can these changes be sustained?",May 01,N/A
DOI:10.1056/NEJMc2007617,Correspondence,Children with Covid-19 in Italy,/doi/full/10.1056/NEJMc2007617?query=featured_coronavirus,10.1056/NEJMc2007617,"N. Parri, M. Lenge, and D. Buonsenso",This letter describes a cohort of 100 children younger than 18 years of age with RT-PCR–confirmed Covid-19 who were assessed in 17 pediatric emergency departments in Italy. The descriptive results are compared with previously published results involving children in China and the United States.,May 01,N/A
DOI:10.1056/NEJMc2005073,Correspondence,SARS-CoV-2 Infection in Children,/doi/full/10.1056/NEJMc2005073?query=featured_coronavirus,10.1056/NEJMc2005073,X. Lu and Others,"In this report, investigators in Wuhan, China, describe the spectrum of Covid-19 illness in children under the age of 16 years. Of 1391 children assessed and tested over a period of 4 weeks, 171 (12.3%) were confirmed to have SARS-CoV-2 infection.",Apr 23,N/A
DOI:10.1056/NEJMc2003717,Correspondence,"Children with Covid-19 in Wuhan, China",/doi/full/10.1056/NEJMc2003717?query=featured_coronavirus,10.1056/NEJMc2003717,W. Liu and Others,"A retrospective analysis of routine surveillance data involving children hospitalized in central Wuhan, China, for acute lower respiratory infection in early January 2020 revealed six cases of Covid-19. The authors report clinical characteristics of the children and laboratory data.",Apr 02,N/A
DOI:10.1056/NEJMp2005638,Perspective,Feeding Low-Income Children during the Pandemic,/doi/full/10.1056/NEJMp2005638?query=featured_coronavirus,10.1056/NEJMp2005638,C.G. Dunn and Others,"U.S. government programs serve nearly 35 million children daily, delivering vital nutrition and financial assistance to families in need. With such programs interrupted, an essential element of the Covid-19 response will be feeding children from low-income families.",Apr 30,N/A
DOI:10.1056/NEJMcp2009249,Clinical Practice,Mild or Moderate Covid-19,/doi/full/10.1056/NEJMcp2009249?query=featured_coronavirus,10.1056/NEJMcp2009249,"R.T. Gandhi, J.B. Lynch, and C. del Rio","The diagnosis of Covid-19 is usually based on detection of SARS-CoV-2 by PCR testing (most commonly of a nasopharyngeal swab); false negatives may occur. Available data to guide treatment have substantial limitations; randomized trials of several treatments (e.g., hydroxychloroquine, remdesivir, and favipiravir) are ongoing.",Apr 24,N/A
DOI:10.1056/NEJMoa2007016,Original Article,Compassionate-Use Remdesivir for Severe Covid-19,/doi/full/10.1056/NEJMoa2007016?query=featured_coronavirus,10.1056/NEJMoa2007016,J. Grein and Others,"A cohort of patients with severe Covid-19 received treatment with remdesivir under a compassionate-use protocol. Improvement in oxygen-support status was observed in 68% of patients, and overall mortality was 13% over a median follow-up of 18 days.",Apr 10,N/A
DOI:10.1056/NEJMoa2001282,Original Article,Oral Lopinavir–Ritonavir for Severe Covid-19,/doi/full/10.1056/NEJMoa2001282?query=featured_coronavirus,10.1056/NEJMoa2001282,B. Cao and Others,"Investigators in China report the results of an open-label, randomized clinical trial of lopinavir–ritonavir for the treatment of Covid-19 in 199 infected adult patients. The primary end point was the time to clinical improvement.",Mar 18,N/A
DOI:10.1056/NEJMp2009457,Perspective,Drug Evaluation during the Covid-19 Pandemic,/doi/full/10.1056/NEJMp2009457?query=featured_coronavirus,10.1056/NEJMp2009457,B.N. Rome and J. Avorn,"The search for a treatment for Covid-19 is testing our country’s ability to quickly develop, test, and deploy medications, and several aspects of the U.S. response highlight how the processes for evaluating and approving drugs can go awry during a public health crisis.",Apr 14,N/A
DOI:10.1056/NEJMp2005630,Perspective,Developing Covid-19 Vaccines at Pandemic Speed,/doi/full/10.1056/NEJMp2005630?query=featured_coronavirus,10.1056/NEJMp2005630,N. Lurie and Others,"An ideal vaccine platform would support development from viral sequencing to clinical trials in less than 16 weeks, demonstrate elicitation of consistent immune responses across pathogens, and be suitable for large-scale manufacturing using a pathogen-agnostic platform.",Mar 30,N/A
DOI:10.1056/NEJMp2008512,Perspective,A National Medical Response to Crisis,/doi/full/10.1056/NEJMp2008512?query=featured_coronavirus,10.1056/NEJMp2008512,J. Barr and S.H. Podolsky,World War II’s massive casualties were mitigated by lives saved as a result of medical care. Many of the advances made would persist long after the war concluded — a silver lining that perhaps will have parallels in our current struggle with Covid-19.,Apr 29,N/A
DOI:10.1056/NEJMc2010025,Correspondence,In Pursuit of PPE,/doi/full/10.1056/NEJMc2010025?query=featured_coronavirus,10.1056/NEJMc2010025,A.W. Artenstein,"A chief physician executive finds himself involved in the complexities of trying to secure a shipment of much-needed personal protective equipment for his hospital. In the end, it seemed like a scene from a gangster movie.",Apr 30,N/A
DOI:10.1056/NEJMc2009409,Correspondence,Staying Ahead of the Wave,/doi/full/10.1056/NEJMc2009409?query=featured_coronavirus,10.1056/NEJMc2009409,"A.J. Singer, E.J. Morley, and M.C. Henry","This report from a hard-hit hospital on Long Island, New York, explains how the local coronavirus epidemic led to rapid innovation. The ED set up a forward-triage and treatment unit and a split-flow process to expedite care. Ways were found to produce face shields and hand sanitizer and to sterilize used N95 respirators.",Apr 30,N/A
DOI:10.1056/NEJMe2007263,Editorial,Ten Weeks to Crush the Curve,/doi/full/10.1056/NEJMe2007263?query=featured_coronavirus,10.1056/NEJMe2007263,H.V. Fineberg,"Harvey Fineberg calls for a forceful, focused campaign to eradicate Covid-19 and outlines six steps to mobilize and organize the nation to crush the curve by early June.",Apr 23,N/A
DOI:10.1056/NEJMc2010853,Correspondence,Transforming ORs into ICUs,/doi/full/10.1056/NEJMc2010853?query=featured_coronavirus,10.1056/NEJMc2010853,"A.W. Peters, K.S. Chawla, and Z.A. Turnbull","In the epicenter of New York City, a medical center rapidly transforms unused facilities to increase its critical care capacity. In the process, it repurposes equipment, retrains staff, modifies ventilation systems, and constructs new walls.",May 07,N/A
DOI:10.1056/NEJMp2007637,Perspective,"Disease Control, Civil Liberties, and Mass Testing",/doi/full/10.1056/NEJMp2007637?query=featured_coronavirus,10.1056/NEJMp2007637,D.M. Studdert and M.A. Hall,"There is emerging consensus that a graduated approach to Covid-19–related restrictive measures will be needed. Decisions to continue, modify, or lift restrictions — particularly bans on movement and gathering — could be tailored using individualized risk assessment.",Apr 09,N/A
DOI:10.1056/NEJMoa2008457,Original Article,Presymptomatic SARS-CoV-2 in a Nursing Facility,/doi/full/10.1056/NEJMoa2008457?query=featured_home,10.1056/NEJMoa2008457,M.M. Arons and Others,The authors assessed transmission of SARS-CoV-2 and evaluated the adequacy of symptom-based screening in a skilled nursing facility. More than half of residents with positive test results were asymptomatic at the time of testing. Infection-control strategies focused solely on symptomatic residents were not sufficient to prevent transmission.,Apr 24,N/A
DOI:10.1056/NEJMc2001468,Correspondence,2019-nCoV Transmission from Asymptomatic Patient,/doi/full/10.1056/NEJMc2001468?query=featured_home,10.1056/NEJMc2001468,C. Rothe and Others,"In this report, investigators in Germany detected the spread of the novel coronavirus (2019-nCoV) from a person who had recently traveled from China to Germany for a business trip. This transmission occurred before the apparent onset of illness in the index patient and was associated with additional transmission events in Germany.",Mar 05,N/A
DOI:10.1056/NEJMp2009405,Perspective,Covid-19 — A Reminder to Reason,/doi/full/10.1056/NEJMp2009405?query=featured_home,10.1056/NEJMp2009405,I. Zagury-Orly and R.M. Schwartzstein,"Faced with the Covid-19 pandemic, clinicians feel compelled to do something for their patients. But we need to retain a healthy skepticism and remember the principle of clinical equipoise, particularly when considering interventions that could cause harm.",Apr 28,N/A
DOI:10.1056/NEJMc2004973,Correspondence,Aerosol and Surface Stability of SARS-CoV-2,/doi/full/10.1056/NEJMc2004973?query=featured_coronavirus,10.1056/NEJMc2004973,N. van Doremalen and Others,"In this research letter, investigators report on the stability of SARS-CoV-2 and SARS-CoV-1 under experimental conditions. The viability of the two viruses was assessed in aerosols and on plastic, stainless steel, copper, and cardboard.",Apr 16,N/A
DOI:10.1056/NEJMc2007800,Correspondence,Oral Fluid Droplets Generated during Speech,/doi/full/10.1056/NEJMc2007800?query=featured_coronavirus,10.1056/NEJMc2007800,P. Anfinrud and Others,"In this experiment, investigators used a laser in a darkened box to visualize droplets that were generated during speech. The droplets decreased in number with lower-amplitude speech and were almost eliminated when the speaker’s mouth was covered with a damp cloth (shown in a video).",Apr 15,N/A
DOI:10.1056/NEJMc2009324,Correspondence,Aerosols and Transmission of SARS-CoV-2,/doi/full/10.1056/NEJMc2009324?query=featured_coronavirus,10.1056/NEJMc2009324,M. Meselson,"With reference to a letter about the use of laser light scattering to visualize droplets that emanate during speech, this author describes the nature of aerosols and their potential for transmission of SARS-CoV-2.",Apr 15,N/A
DOI:10.1056/NEJMc2009316,Correspondence,SARS-CoV-2 Testing in Obstetrical Patients,/doi/full/10.1056/NEJMc2009316?query=featured_coronavirus,10.1056/NEJMc2009316,D. Sutton and Others,"Among 215 pregnant women who were admitted to a New York hospital for delivery and who underwent universal testing for SARS-CoV-2, more than one of eight asymptomatic women had positive results, and most of the women with Covid-19 were asymptomatic.",Apr 13,N/A
DOI:10.1056/NEJMc2009226,Correspondence,"Pregnant Women with Covid-19 in Wuhan, China",/doi/full/10.1056/NEJMc2009226?query=featured_coronavirus,10.1056/NEJMc2009226,L. Chen and Others,"Among 118 pregnant women with Covid-19 in Wuhan, China, the vast majority had a mild course of disease.",Apr 17,N/A
DOI:10.1056/NEJMc2010614,Correspondence,Late-Onset Neonatal Sepsis with Covid-19,/doi/full/10.1056/NEJMc2010614?query=featured_coronavirus,10.1056/NEJMc2010614,A. Coronado Munoz and Others,"The condition of a 3-week-old boy with nasal congestion, tachypnea, and reduced feeding deteriorated, and he underwent intubation and received hemodynamic support in the pediatric intensive care unit. Chest radiography showed bilateral linear opacities, and a nasal swab was positive for SARS-CoV-2.",Apr 22,N/A
DOI:10.1056/NEJMc2007605,Correspondence,Uncomplicated Delivery in a Patient with Covid-19,/doi/full/10.1056/NEJMc2007605?query=featured_coronavirus,10.1056/NEJMc2007605,S.N. Iqbal and Others,"The peripartum care of a woman with Covid-19 at 39 weeks of gestation is described. The woman and the neonate were discharged home on hospital day 6. Care was taken to avoid infecting hospital staff, and 7 days after the delivery, no caregivers appeared to be infected.",Apr 16,N/A
DOI:10.1056/NEJMp2007466,Perspective,Harnessing Our Humanity,/doi/full/10.1056/NEJMp2007466?query=featured_coronavirus,10.1056/NEJMp2007466,L. Rosenbaum,"As the Covid-19 pandemic spreads, we’ll continue to be plagued by resource constraints that will compromise our ability to protect ourselves, our patients, and our communities. But as Washington’s response reminds us, the professional spirit marches on, unconstrained.",Apr 01,N/A
DOI:10.1056/NEJMp2005689,Perspective,The Toughest Triage,/doi/full/10.1056/NEJMp2005689?query=featured_coronavirus,10.1056/NEJMp2005689,"R.D. Truog, C. Mitchell, and G.Q. Daley","Of all the medical care that will have to be rationed during the Covid-19 pandemic, the most problematic will be mechanical ventilation. One strategy for avoiding debilitating distress over these decisions is to use a triage committee to buffer bedside clinicians.",Mar 23,N/A
DOI:10.1056/NEJMc2007589,Correspondence,Protective Shield for Intubation,/doi/full/10.1056/NEJMc2007589?query=featured_coronavirus,10.1056/NEJMc2007589,R. Canelli and Others,A four-sided plexiglass box with access holes for an operator was used to provide additional protection for an operator performing intubation. The box reduced the amount of material expelled from a simulated patient cough that ended up on the operator. This letter is accompanied by a video showing the simulation.,Apr 03,N/A
DOI:10.1056/NEJMsb2005114,Sounding Board,Allocating Scarce Medical Resources for Covid-19,/doi/full/10.1056/NEJMsb2005114?query=featured_coronavirus,10.1056/NEJMsb2005114,E.J. Emanuel and Others,"The Covid-19 pandemic has already stressed health care systems throughout the world, requiring rationing of medical equipment and care. The authors discuss the ethical values relevant to health care rationing and provide six recommendations to guide fair allocation of scarce medical resources during the pandemic.",Mar 23,N/A
DOI:10.1056/NEJMp2006141,Perspective,Critical Supply Shortages,/doi/full/10.1056/NEJMp2006141?query=featured_coronavirus,10.1056/NEJMp2006141,"M.L. Ranney, V. Griffeth, and A.K. Jha","U.S. hospitals are already reporting shortages of key equipment needed to care for critically ill patients with Covid-19, including ventilators and personal protective equipment for medical staff. Adequate production and distribution of this equipment is crucial.",Apr 30,N/A
DOI:10.1056/NEJMoa2005412,Original Article,Covid-19 Outbreak at a Long-Term Care Facility,/doi/full/10.1056/NEJMoa2005412?query=featured_coronavirus,10.1056/NEJMoa2005412,T.M. McMichael and Others,"On February 28, 2020, public health officials in the Seattle area were informed of a Covid-19 infection at a long-term care facility. An investigation identified 167 infected persons associated with the facility, including residents, health care personnel, and visitors; more than a third of the 101 residents identified died.",Mar 27,N/A
DOI:10.1056/NEJMoa2001191,Original Article,First U.S. Confirmed Case of 2019-nCoV Infection,/doi/full/10.1056/NEJMoa2001191?query=featured_coronavirus,10.1056/NEJMoa2001191,M.L. Holshue and Others,"A healthy 35 year-old man who had visited Wuhan, China, presented with cough and fever that progressed to pneumonia. This report describes the diagnosis, clinical course, and management of the condition. The case highlights the importance of close coordination between clinicians and public health authorities at the local, state, and federal levels.",Mar 05,N/A
DOI:10.1056/NEJMoa2004500,Original Article,"Covid-19 — Early ICU Experience, Seattle",/doi/full/10.1056/NEJMoa2004500?query=featured_coronavirus,10.1056/NEJMoa2004500,P.K. Bhatraju and Others,"Clinicians and investigators report on the first 24 patients admitted to ICUs from nine Seattle area hospitals. Key aspects of the clinical presentation, treatment, and outcomes are described.",Mar 30,N/A
DOI:10.1056/NEJMoa2002032,Original Article,Characteristics of Covid-19 in China,/doi/full/10.1056/NEJMoa2002032,10.1056/NEJMoa2002032,W. Guan and Others,"In this study, researchers describe the clinical characteristics of coronavirus disease 2019 in a selected cohort of 1099 patients with laboratory-confirmed disease throughout mainland China during the first 2 months of the current outbreak.",Feb 28,N/A
DOI:10.1056/NEJMoa2001316,Original Article,Early Transmission Dynamics of 2019-nCoV,/doi/full/10.1056/NEJMoa2001316,10.1056/NEJMoa2001316,Q. Li and Others,"The authors provide an epidemiologic analysis of the first 425 confirmed cases of infection with the novel coronavirus in Wuhan, China. This analysis provides estimates of the epidemic doubling time and the basic reproductive number and shows clear evidence of sustained human-to-human transmission.",Mar 26,N/A
DOI:10.1056/NEJMoa2001017,Original Article,A Novel Coronavirus in China,/doi/full/10.1056/NEJMoa2001017,10.1056/NEJMoa2001017,N. Zhu and Others,"The authors report the emergence and isolation of a previously unknown betacoronavirus, the seventh member of the family of coronaviruses that infect humans, in Wuhan, China. Findings in three patients are described.",Feb 20,N/A
DOI:10.1056/NEJMc2003100,Correspondence,SARS-CoV-2 Infection in Travelers Returning from Wuhan,/doi/full/10.1056/NEJMc2003100?query=featured_coronavirus,10.1056/NEJMc2003100,O.-T. Ng and Others,"Data on travelers returning from areas with many cases of Covid-19 may be useful in estimating incidence. The authors report follow-up data on 94 persons who boarded an evacuation flight from Wuhan, China, to Singapore on January 30, 2020.",Apr 09,N/A
DOI:10.1056/NEJMp2000929,Perspective,A Novel Coronavirus Emerging in China,/doi/full/10.1056/NEJMp2000929?query=featured_coronavirus,10.1056/NEJMp2000929,V.J. Munster and Others,"A novel coronavirus, designated as 2019-nCoV, emerged in Wuhan, China, at the end of 2019. Although many details of the emergence of this virus remain unknown, it has put global public health institutions on high alert.",Feb 20,N/A
DOI:https://interactives.nejm.org/iv/playlist_branded/index.html,Editorial,NEJM Covid-19 Update,https://interactives.nejm.org/iv/playlist_branded/index.html?media_id=chsWAwUH,https://interactives.nejm.org/iv/playlist_branded/index.html,N/A,Listen to conversations with editors Eric Rubin and Lindsey Baden on the current coronavirus outbreak.,N/A,N/A
DOI:http://www.healthmap.org/ncov2019/,N/A,HealthMap of the Coronavirus Outbreak,http://www.healthmap.org/ncov2019/,http://www.healthmap.org/ncov2019/,N/A,The HealthMap team from Boston Children’s Hospital tracks publicly reported confirmed and suspected cases of Covid-19 throughout the world. The map is automatically updated to show current data.,N/A,N/A
DOI:https://www.nejm.org10.1056/NEJMicm1501197,IMAGES IN CLINICAL MEDICINE,A Sneeze,https://www.nejm.org/doi/full/10.1056/NEJMicm1501197,https://www.nejm.org10.1056/NEJMicm1501197,N/A,This video captures the emission of a sneeze cloud. The largest droplets rapidly settle within 1 to 2 m away from the person. The smaller and evaporating droplets can travel the dimensions of a room and land up to 6 to 8 m away.,N/A,N/A
DOI:https://www.nejm.org10.1056/NEJMicm072576,IMAGES IN CLINICAL MEDICINE,Coughing and Aerosols,https://www.nejm.org/doi/full/10.1056/NEJMicm072576,https://www.nejm.org10.1056/NEJMicm072576,N/A,"Sequential schlieren images during a cough, shown in a video, were recorded at 3000 frames per second. A maximum airspeed of 8 m per second (18 mph) was observed, averaged during the half-second cough.",N/A,N/A
N/A,N/A,Epidemics Going Viral: Innovation vs. Nature,N/A,N/A,N/A,"In April 2018, a group of renowned researchers, clinicians, public health officials, and others with first-hand experience dealing with epidemics explored the complex challenges of global health emergencies, as well as potential solutions. Watch the video.",N/A,N/A
N/A,NEJM Resident 360,COVID-19 Interactive Case,N/A,N/A,N/A,This interactive case presents a new patient with a history characteristic of COVID-19. It explains management of the associated hypoxemia and the laboratory and imaging studies. Test your knowledge and learn more about this disease.,N/A,N/A
