Abstract,DOI,ID,PublishedDate,Source,Title,Type,title_words,abstract_words,abstract_sentences
"N/A (Too many requests)EMA provided an update on the measures EU authorities are putting place to support the continued availability of medicines during the pandemic, following a meeting of the EU Executive Steering Group on Shortages of Medicines Caused by Major Events. The update covers progress made in setting up an enhanced monitoring system for supply issues with crucial medicines for the treatment of COVID-19 and planned updates to the guidance for pharmaceutical companies on adaptations of the regulatory framework to address COVID-19-related challenges.",10.1016/j.numecd.2020.04.013N/A,DOI:10.1016/j.numecd.2020.04.013N/A,2020-04-1820 April,ELSEVIEREMA,Cardiovascular disease potentially contributes to the progression and poor prognosis of COVID-19Availability of medicines during COVID-19 pandemic,"Nutrition, Metabolism and Cardiovascular DiseasesUpdate","['cardiovascular', 'disease', 'potentially', 'contribute', 'progression', 'poor', 'prognosis', 'covid', '19availability', 'medicine', 'covid', '19', 'pandemic']","['n', 'many', 'request', 'ema', 'provide', 'update', 'measure', 'eu', 'authority', 'put', 'place', 'support', 'continue', 'availability', 'medicine', 'pandemic', 'follow', 'meet', 'eu', 'executive', 'steer', 'group', 'shortage', 'medicine', 'cause', 'major', 'event', 'update', 'cover', 'progress', 'make', 'set', 'enhance', 'monitor', 'system', 'supply', 'issue', 'crucial', 'medicine', 'treatment', 'covid', '19', 'plan', 'update', 'guidance', 'pharmaceutical', 'company', 'adaptation', 'regulatory', 'framework', 'address', 'covid', '19', 'relate', 'challenge']",
"N/A (Too many requests)The International Coalition of Medicines Regulatory Authorities published a report summarising the third global regulatory workshop on the use of observational studies and real-world data in generating robust evidence on the safety and efficacy of COVID-19 vaccines and treatments. The report provides a snapshot of ongoing and planned observational studies, platforms and registries in various countries and regions around the world. EMA co-chaired the meeting with Health Canada.",10.1016/j.bbi.2020.04.077N/A,DOI:10.1016/j.bbi.2020.04.077N/A,2020-04-2816 April,ELSEVIEREMA,COVID-19 presenting as strokeInternational Coalition of Medicines Regulatory Authorities (ICMRA),"Brain, Behavior, and ImmunityUpdate","['covid', '19', 'present', 'strokeinternational', 'coalition', 'medicine', 'regulatory', 'authority', 'icmra']","['n', 'many', 'request', 'international', 'coalition', 'medicine', 'regulatory', 'authority', 'publish', 'report', 'summarise', 'third', 'global', 'regulatory', 'workshop', 'use', 'observational', 'study', 'real', 'world', 'data', 'generate', 'robust', 'evidence', 'safety', 'efficacy', 'covid', '19', 'vaccine', 'treatment', 'report', 'provide', 'snapshot', 'ongoing', 'plan', 'observational', 'study', 'platform', 'registry', 'various', 'country', 'region', 'around', 'world', 'ema', 'co', 'chair', 'meet', 'health', 'canada']",
"N/A (Too many requests)EMA, the European Commission and the European medicines regulatory network published guidance for companies on adaptations to the regulatory framework to address challenges arising from the COVID-19 pandemic, with a particular focus on crucial medicines for use in COVID-19 patients.",10.1016/j.oraloncology.2020.104741N/A,DOI:10.1016/j.oraloncology.2020.104741N/A,2020-04-2810 April,ELSEVIEREMA,What Dentists Need to Know about COVID-19Availability of medicines during COVID-19 pandemic,Oral OncologyUpdate,"['dentist', 'need', 'know', 'covid', '19availability', 'medicine', 'covid', '19', 'pandemic']","['n', 'many', 'request', 'ema', 'european', 'commission', 'european', 'medicine', 'regulatory', 'network', 'publish', 'guidance', 'company', 'adaptation', 'regulatory', 'framework', 'address', 'challenge', 'arise', 'covid', '19', 'pandemic', 'particular', 'focus', 'crucial', 'medicine', 'use', 'covid', '19', 'patient']",
N/A (Too many requests)EMA provided an update on the measures EU authorities are putting place to support the continued availability of medicines during the pandemic. This covers the enhanced monitoring system for supply issues with crucial medicines for the treatment of COVID-19 and the guidance currently under development on the regulatory rules that could be applied with greater flexibility to help secure their continued supply.,10.1016/j.bbih.2020.100064N/A,DOI:10.1016/j.bbih.2020.100064N/A,2020-03-2910 April,ELSEVIEREMA,Knowledge and attitudes of medical staff in Chinese psychiatric hospitals regarding COVID-19Availability of medicines during COVID-19 pandemic,"Brain, Behavior, & Immunity - HealthUpdate","['knowledge', 'attitude', 'medical', 'staff', 'chinese', 'psychiatric', 'hospital', 'regard', 'covid', '19availability', 'medicine', 'covid', '19', 'pandemic']","['n', 'many', 'request', 'ema', 'provide', 'update', 'measure', 'eu', 'authority', 'put', 'place', 'support', 'continue', 'availability', 'medicine', 'pandemic', 'cover', 'enhance', 'monitor', 'system', 'supply', 'issue', 'crucial', 'medicine', 'treatment', 'covid', '19', 'guidance', 'currently', 'development', 'regulatory', 'rule', 'could', 'apply', 'greater', 'flexibility', 'help', 'secure', 'continue', 'supply']",
"N/A (Too many requests)EMA published the 


mandate of its COVID-19 EMA pandemic Task Force (COVID-ETF).

 The Task Force is helping EU Member States and the European Commission to take quick and coordinated regulatory action on the development, authorisation and safety monitoring of treatments and vaccines intended for the treatment and prevention of COVID-19.",10.1016/j.mehy.2020.109762N/A,DOI:10.1016/j.mehy.2020.109762N/A,2020-04-229 April,ELSEVIEREMA,The Powerful Immune System Against Powerful COVID-19: A HypothesisEMA’s governance during COVID-19 pandemic,Medical HypothesesUpdate,"['powerful', 'immune', 'system', 'powerful', 'covid', '19', 'hypothesisema', 'governance', 'covid', '19', 'pandemic']","['n', 'many', 'request', 'ema', 'publish', 'mandate', 'covid', '19', 'ema', 'pandemic', 'task', 'force', 'covid', 'etf', 'task', 'force', 'help', 'eu', 'member', 'state', 'european', 'commission', 'take', 'quick', 'coordinate', 'regulatory', 'action', 'development', 'authorisation', 'safety', 'monitor', 'treatment', 'vaccine', 'intend', 'treatment', 'prevention', 'covid', '19']",
N/A (Too many requests)The International Coalition of Medicines Regulatory Authorities published the report summarising the second global regulatory workshop on COVID-19 medicine development held on Thursday 2 April. The report stresses the need for robust evidence to show which potential treatments work. EMA co-chaired the meeting.,10.1016/j.clinimag.2020.04.023N/A,DOI:10.1016/j.clinimag.2020.04.023N/A,2020-04-249 April,ELSEVIEREMA,COVID-19 pneumonia patient without clear epidemiological history outside Wuhan: An analysis of the radiographic and clinical featuresInternational Coalition of Medicines Regulatory Authorities (ICMRA),Clinical ImagingUpdate,"['covid', '19', 'pneumonia', 'patient', 'without', 'clear', 'epidemiological', 'history', 'outside', 'wuhan', 'analysis', 'radiographic', 'clinical', 'featuresinternational', 'coalition', 'medicine', 'regulatory', 'authority', 'icmra']","['n', 'many', 'request', 'international', 'coalition', 'medicine', 'regulatory', 'authority', 'publish', 'report', 'summarise', 'second', 'global', 'regulatory', 'workshop', 'covid', '19', 'medicine', 'development', 'hold', 'thursday', '2', 'april', 'report', 'stress', 'need', 'robust', 'evidence', 'show', 'potential', 'treatment', 'work', 'ema', 'co', 'chair', 'meet']",
N/A (Too many requests)EMA and Health Canada jointly chaired the third global regulatory workshop on Monday 6 April under the umbrella of the International Coalition of Medicines Regulatory Authorities (ICMRA). The participants discussed how data generated during clinical practice in the treatment of COVID-19 could complement evidence from clinical trials of potential COVID-19 treatments and vaccines.,10.1016/j.jcv.2020.104379N/A,DOI:10.1016/j.jcv.2020.104379N/A,2020-04-227 April,ELSEVIEREMA,COVID-19 in Vietnam: A lesson of pre-preparationInternational Coalition of Medicines Regulatory Authorities (ICMRA),Journal of Clinical VirologyUpdate,"['covid', '19', 'vietnam', 'lesson', 'pre', 'preparationinternational', 'coalition', 'medicine', 'regulatory', 'authority', 'icmra']","['n', 'many', 'request', 'ema', 'health', 'canada', 'jointly', 'chair', 'third', 'global', 'regulatory', 'workshop', 'monday', '6', 'april', 'umbrella', 'international', 'coalition', 'medicine', 'regulatory', 'authority', 'icmra', 'participant', 'discuss', 'data', 'generate', 'clinical', 'practice', 'treatment', 'covid', '19', 'could', 'complement', 'evidence', 'clinical', 'trial', 'potential', 'covid', '19', 'treatment', 'vaccine']",
N/A (Too many requests)EMA announced that essential work to combat the COVID-19 pandemic would continue during the Agency’s Easter break from 9 to 13 April 2020.,10.1016/j.dsx.2020.03.011N/A,DOI:10.1016/j.dsx.2020.03.011N/A,2020-03-267 April,ELSEVIEREMA,Chloroquine and hydroxychloroquine in the treatment of COVID-19 with or without diabetes: A systematic search and a narrative review with a special reference to India and other developing countriesEMA’s governance during COVID-19 pandemic,Diabetes & Metabolic Syndrome: Clinical Research & ReviewsUpdate,"['chloroquine', 'hydroxychloroquine', 'treatment', 'covid', '19', 'without', 'diabetes', 'systematic', 'search', 'narrative', 'review', 'special', 'reference', 'india', 'develop', 'countriesema', 'governance', 'covid', '19', 'pandemic']","['n', 'many', 'request', 'ema', 'announce', 'essential', 'work', 'combat', 'covid', '19', 'pandemic', 'would', 'continue', 'agency', 'easter', 'break', '9', '13', 'april', '2020']",
"N/A (Too many requests)EMA announced new EU-level measures to help prevent and mitigate supply issues with medicines used to treat COVID-19 patients. These include enhanced coordination with the pharmaceutical industry in monitoring supply issues and regulatory actions to support companies in increasing the available supply of critical medicines. During this extraordinary health crisis, EMA will act as the central EU coordinator, supporting Member States' activities in preventing and mitigating supply issues.",10.1016/j.jviscsurg.2020.04.011N/A,DOI:10.1016/j.jviscsurg.2020.04.011N/A,2020-04-186 April,ELSEVIEREMA,Management of the COVID-19 epidemic by public health establishments - Analysis by the Fédération Hospitalière de FranceAvailability of medicines during COVID-19 pandemic,Journal of Visceral SurgeryUpdate,"['management', 'covid', '19', 'epidemic', 'public', 'health', 'establishment', 'analysis', 'f', 'ration', 'hospitali', 'de', 'franceavailability', 'medicine', 'covid', '19', 'pandemic']","['n', 'many', 'request', 'ema', 'announce', 'new', 'eu', 'level', 'measure', 'help', 'prevent', 'mitigate', 'supply', 'issue', 'medicine', 'use', 'treat', 'covid', '19', 'patient', 'include', 'enhance', 'coordination', 'pharmaceutical', 'industry', 'monitor', 'supply', 'issue', 'regulatory', 'action', 'support', 'company', 'increase', 'available', 'supply', 'critical', 'medicine', 'extraordinary', 'health', 'crisis', 'ema', 'act', 'central', 'eu', 'coordinator', 'support', 'member', 'state', 'activity', 'prevent', 'mitigate', 'supply', 'issue']",
N/A (Too many requests)EMA’s human medicines committee (CHMP) gave recommendations on how the investigational antiviral medicine remdesivir should be used in compassionate use programmes across Europe when treating COVID-19 patients who are not eligible for inclusion in clinical trials. These recommendations aim to ensure a harmonised approach across EU Member States. They also explain which group of patients may benefit from treatment and provide preliminary information on the medicine’s safety.,10.1016/j.jtcvs.2020.03.061N/A,DOI:10.1016/j.jtcvs.2020.03.061N/A,2020-04-093 April,ELSEVIEREMA,COVID-19 Guidance for Triage of Operations for Thoracic Malignancies: A Consensus Statement from Thoracic Surgery Outcomes Research NetworkTreatments and vaccines for COVID-19,The Journal of Thoracic and Cardiovascular SurgeryUpdate,"['covid', '19', 'guidance', 'triage', 'operation', 'thoracic', 'malignancy', 'consensus', 'statement', 'thoracic', 'surgery', 'outcome', 'research', 'networktreatments', 'vaccine', 'covid', '19']","['n', 'many', 'request', 'ema', 'human', 'medicine', 'committee', 'chmp', 'give', 'recommendation', 'investigational', 'antiviral', 'medicine', 'remdesivir', 'use', 'compassionate', 'use', 'programme', 'across', 'europe', 'treat', 'covid', '19', 'patient', 'eligible', 'inclusion', 'clinical', 'trial', 'recommendation', 'aim', 'ensure', 'harmonise', 'approach', 'across', 'eu', 'member', 'state', 'also', 'explain', 'group', 'patient', 'may', 'benefit', 'treatment', 'provide', 'preliminary', 'information', 'medicine', 'safety']",
N/A (Too many requests)EMA and the Japanese Pharmaceuticals and Medical Devices Agency (PMDA) jointly chaired the second global regulatory workshop on Thursday 2 April under the umbrella of the International Coalition of Medicines Regulatory Authorities (ICMRA). The participants discussed the progress made in the development of potential COVID-19 treatments and reaffirmed the need for large clinical trials to generate conclusive evidence on which treatments work. ICMRA will publish a summary report of the meeting shortly.,10.1016/j.ajogmf.2020.100110N/A,DOI:10.1016/j.ajogmf.2020.100110N/A,2020-03-253 April,ELSEVIEREMA,Labor and delivery guidance for COVID-19International Coalition of Medicines Regulatory Authorities (ICMRA),American Journal of Obstetrics & Gynecology MFMUpdate,"['labor', 'delivery', 'guidance', 'covid', '19international', 'coalition', 'medicine', 'regulatory', 'authority', 'icmra']","['n', 'many', 'request', 'ema', 'japanese', 'pharmaceutical', 'medical', 'device', 'agency', 'pmda', 'jointly', 'chair', 'second', 'global', 'regulatory', 'workshop', 'thursday', '2', 'april', 'umbrella', 'international', 'coalition', 'medicine', 'regulatory', 'authority', 'icmra', 'participant', 'discuss', 'progress', 'make', 'development', 'potential', 'covid', '19', 'treatment', 'reaffirm', 'need', 'large', 'clinical', 'trial', 'generate', 'conclusive', 'evidence', 'treatment', 'work', 'icmra', 'publish', 'summary', 'report', 'meet', 'shortly']",
N/A (Too many requests)EMA advised patients and healthcare professionals to only use chloroquine and hydroxychloroquine medicines for their authorised indications or as part of clinical trials or national emergency use programmes for the treatment of COVID-19. This is to ensure patient safety and the best use of available supplies.,10.1016/j.jns.2020.116832N/A,DOI:10.1016/j.jns.2020.116832N/A,2020-04-111 April,ELSEVIEREMA,Central nervous system manifestations of COVID-19: A systematic reviewPublic-health advice during COVID-19 pandemic,Journal of the Neurological SciencesUpdate,"['central', 'nervous', 'system', 'manifestation', 'covid', '19', 'systematic', 'reviewpublic', 'health', 'advice', 'covid', '19', 'pandemic']","['n', 'many', 'request', 'ema', 'advise', 'patient', 'healthcare', 'professional', 'use', 'chloroquine', 'hydroxychloroquine', 'medicine', 'authorise', 'indication', 'part', 'clinical', 'trial', 'national', 'emergency', 'use', 'programme', 'treatment', 'covid', '19', 'ensure', 'patient', 'safety', 'best', 'use', 'available', 'supply']",
N/A (Too many requests)EMA announced that it has held discussions with developers of around 40 potential treatments and a dozen vaccines against COVID-19. No potential COVID-19 treatments had demonstrated efficacy based on the preliminary data available. EMA welcomes the launch of large clinical trials to test promising treatments and to generate conclusive evidence. Two vaccines had already entered phase I clinical trials. EMA estimated that it might take at least a year before a vaccine is ready for approval and available in sufficient quantities to enable widespread use.,10.1016/j.chest.2020.03.032N/A,DOI:10.1016/j.chest.2020.03.032N/A,2020-03-2631 Match,ELSEVIEREMA,Comparison of Hospitalized Patients With ARDS Caused by COVID-19 and H1N1Treatments and vaccines for COVID-19,ChestUpdate,"['comparison', 'hospitalize', 'patient', 'ards', 'cause', 'covid', '19', 'h1n1treatments', 'vaccine', 'covid', '19']","['n', 'many', 'request', 'ema', 'announce', 'hold', 'discussion', 'developer', 'around', '40', 'potential', 'treatment', 'dozen', 'vaccine', 'covid', '19', 'potential', 'covid', '19', 'treatment', 'demonstrate', 'efficacy', 'base', 'preliminary', 'data', 'available', 'ema', 'welcome', 'launch', 'large', 'clinical', 'trial', 'test', 'promise', 'treatment', 'generate', 'conclusive', 'evidence', 'two', 'vaccine', 'already', 'enter', 'phase', 'clinical', 'trial', 'ema', 'estimate', 'might', 'take', 'least', 'year', 'vaccine', 'ready', 'approval', 'available', 'sufficient', 'quantity', 'enable', 'widespread', 'use']",
,,,,,,,N/A,N/A,N/A
,,,,,,,N/A,N/A,N/A
,,,,,,,N/A,N/A,N/A
,,,,,,,N/A,N/A,N/A
,,,,,,,N/A,N/A,N/A
,,,,,,,N/A,N/A,N/A
,,,,,,,N/A,N/A,N/A
,,,,,,,N/A,N/A,N/A
,,,,,,,N/A,N/A,N/A
,,,,,,,N/A,N/A,N/A
,,,,,,,N/A,N/A,N/A
,,,,,,,N/A,N/A,N/A
,,,,,,,N/A,N/A,N/A
,,,,,,,N/A,N/A,N/A
,,,,,,,N/A,N/A,N/A
,,,,,,,N/A,N/A,N/A
,,,,,,,N/A,N/A,N/A
,,,,,,,N/A,N/A,N/A
,,,,,,,N/A,N/A,N/A
