Title,Link,Abstract,PublishedDate,MoreInfoLink,title_words,abstract_words,abstract_sentences
Availability of medicines during COVID-19 pandemic,https://www.ema.europa.eu/en/human-regulatory/overview/public-health-threats/coronavirus-disease-covid-19/availability-medicines-during-covid-19-pandemic,"EMA, the European Commission and the European medicines regulatory network published guidance for companies on adaptations to the regulatory framework to address challenges arising from the COVID-19 pandemic, with a particular focus on crucial medicines for use in COVID-19 patients.",10 April,Guidance on regulatory requirements in the context of the COVID-19 pandemic (10/04/2020),"['Availability', 'of', 'medicine', 'during', 'COVID-19', 'pandemic']","['EMA', ',', 'the', 'European', 'Commission', 'and', 'the', 'European', 'medicine', 'regulatory', 'network', 'publish', 'guidance', 'for', 'company', 'on', 'adaptation', 'to', 'the', 'regulatory', 'framework', 'to', 'address', 'challenge', 'arise', 'from', 'the', 'COVID-19', 'pandemic', ',', 'with', 'a', 'particular', 'focus', 'on', 'crucial', 'medicine', 'for', 'use', 'in', 'COVID-19', 'patient', '.']","['EMA, the European Commission and the European medicines regulatory network published guidance for companies on adaptations to the regulatory framework to address challenges arising from the COVID-19 pandemic, with a particular focus on crucial medicines for use in COVID-19 patients.']"
Availability of medicines during COVID-19 pandemic,https://www.ema.europa.eu/en/human-regulatory/overview/public-health-threats/coronavirus-disease-covid-19/availability-medicines-during-covid-19-pandemic,EMA provided an update on the measures EU authorities are putting place to support the continued availability of medicines during the pandemic. This covers the enhanced monitoring system for supply issues with crucial medicines for the treatment of COVID-19 and the guidance currently under development on the regulatory rules that could be applied with greater flexibility to help secure their continued supply.,10 April,Update on EU actions to support availability of medicines during COVID-19 pandemic (10/04/2020) ,"['Availability', 'of', 'medicine', 'during', 'COVID-19', 'pandemic']","['EMA', 'provide', 'an', 'update', 'on', 'the', 'measure', 'EU', 'authority', 'be', 'put', 'place', 'to', 'support', 'the', 'continue', 'availability', 'of', 'medicine', 'during', 'the', 'pandemic', '.', 'This', 'cover', 'the', 'enhance', 'monitor', 'system', 'for', 'supply', 'issue', 'with', 'crucial', 'medicine', 'for', 'the', 'treatment', 'of', 'COVID-19', 'and', 'the', 'guidance', 'currently', 'under', 'development', 'on', 'the', 'regulatory', 'rule', 'that', 'could', 'be', 'apply', 'with', 'greater', 'flexibility', 'to', 'help', 'secure', 'their', 'continue', 'supply', '.']","['EMA provided an update on the measures EU authorities are putting place to support the continued availability of medicines during the pandemic.', 'This covers the enhanced monitoring system for supply issues with crucial medicines for the treatment of COVID-19 and the guidance currently under development on the regulatory rules that could be applied with greater flexibility to help secure their continued supply.']"
EMA’s governance during COVID-19 pandemic,https://www.ema.europa.eu/en/human-regulatory/overview/public-health-threats/coronavirus-disease-covid-19/emas-governance-during-covid-19-pandemic,"EMA published the 


mandate of its COVID-19 EMA pandemic Task Force (COVID-ETF).

 The Task Force is helping EU Member States and the European Commission to take quick and coordinated regulatory action on the development, authorisation and safety monitoring of treatments and vaccines intended for the treatment and prevention of COVID-19.",9 April,EMA establishes task force to take quick and coordinated regulatory action related to COVID-19 medicines (09/04/2020)  ,"['EMA', '’', 's', 'governance', 'during', 'COVID-19', 'pandemic']","['EMA', 'publish', 'the', 'mandate', 'of', 'it', 'COVID-19', 'EMA', 'pandemic', 'Task', 'Force', '(', 'COVID-ETF', ')', '.', 'The', 'Task', 'Force', 'be', 'help', 'EU', 'Member', 'States', 'and', 'the', 'European', 'Commission', 'to', 'take', 'quick', 'and', 'coordinate', 'regulatory', 'action', 'on', 'the', 'development', ',', 'authorisation', 'and', 'safety', 'monitor', 'of', 'treatment', 'and', 'vaccine', 'intend', 'for', 'the', 'treatment', 'and', 'prevention', 'of', 'COVID-19', '.']","['EMA published the \n\n\nmandate of its COVID-19 EMA pandemic Task Force (COVID-ETF).', 'The Task Force is helping EU Member States and the European Commission to take quick and coordinated regulatory action on the development, authorisation and safety monitoring of treatments and vaccines intended for the treatment and prevention of COVID-19.']"
International Coalition of Medicines Regulatory Authorities (ICMRA),https://www.ema.europa.eu/en/partners-networks/international-activities/multilateral-organisations-initiatives/international-coalition-medicines-regulatory-authorities-icmra,The International Coalition of Medicines Regulatory Authorities published the report summarising the second global regulatory workshop on COVID-19 medicine development held on Thursday 2 April. The report stresses the need for robust evidence to show which potential treatments work. EMA co-chaired the meeting.,9 April,Global regulators stress need for robust evidence on COVID-19 treatments (09/04/2020),"['International', 'Coalition', 'of', 'Medicines', 'Regulatory', 'Authorities', '(', 'ICMRA', ')']","['The', 'International', 'Coalition', 'of', 'Medicines', 'Regulatory', 'Authorities', 'publish', 'the', 'report', 'summarise', 'the', 'second', 'global', 'regulatory', 'workshop', 'on', 'COVID-19', 'medicine', 'development', 'hold', 'on', 'Thursday', '2', 'April', '.', 'The', 'report', 'stress', 'the', 'need', 'for', 'robust', 'evidence', 'to', 'show', 'which', 'potential', 'treatment', 'work', '.', 'EMA', 'co-chaired', 'the', 'meet', '.']","['The\xa0International Coalition of Medicines Regulatory Authorities\xa0published the\xa0report\xa0summarising the second global regulatory workshop\xa0on COVID-19 medicine development held on Thursday 2 April.', 'The report stresses the need for robust evidence to show which potential treatments work.', 'EMA co-chaired the meeting.']"
International Coalition of Medicines Regulatory Authorities (ICMRA),https://www.ema.europa.eu/en/partners-networks/international-activities/multilateral-organisations-initiatives/international-coalition-medicines-regulatory-authorities-icmra,EMA and Health Canada jointly chaired the third global regulatory workshop on Monday 6 April under the umbrella of the International Coalition of Medicines Regulatory Authorities (ICMRA). The participants discussed how data generated during clinical practice in the treatment of COVID-19 could complement evidence from clinical trials of potential COVID-19 treatments and vaccines.,7 April,Global regulators discuss observational studies of real world data for COVID-19 medicines (07/04/2020),"['International', 'Coalition', 'of', 'Medicines', 'Regulatory', 'Authorities', '(', 'ICMRA', ')']","['EMA', 'and', 'Health', 'Canada', 'jointly', 'chair', 'the', 'third', 'global', 'regulatory', 'workshop', 'on', 'Monday', '6', 'April', 'under', 'the', 'umbrella', 'of', 'the', 'International', 'Coalition', 'of', 'Medicines', 'Regulatory', 'Authorities', '(', 'ICMRA', ')', '.', 'The', 'participant', 'discuss', 'how', 'data', 'generate', 'during', 'clinical', 'practice', 'in', 'the', 'treatment', 'of', 'COVID-19', 'could', 'complement', 'evidence', 'from', 'clinical', 'trial', 'of', 'potential', 'COVID-19', 'treatment', 'and', 'vaccine', '.']","['EMA and\xa0Health Canada\xa0jointly chaired the third global regulatory workshop on Monday 6 April under the umbrella of the\xa0International Coalition of Medicines Regulatory Authorities (ICMRA).', 'The participants discussed how data generated during clinical practice in the treatment of COVID-19 could complement evidence from\xa0clinical trials\xa0of potential COVID-19 treatments and vaccines.']"
EMA’s governance during COVID-19 pandemic,https://www.ema.europa.eu/en/human-regulatory/overview/public-health-threats/coronavirus-disease-covid-19/emas-governance-during-covid-19-pandemic,EMA announced that essential work to combat the COVID-19 pandemic would continue during the Agency’s Easter break from 9 to 13 April 2020.,7 April,Essential work to combat the COVID-19 pandemic to continue during EMA's Easter break from 9 to 13 April 2020 (07/04/2020),"['EMA', '’', 's', 'governance', 'during', 'COVID-19', 'pandemic']","['EMA', 'announce', 'that', 'essential', 'work', 'to', 'combat', 'the', 'COVID-19', 'pandemic', 'would', 'continue', 'during', 'the', 'Agency', '’', 's', 'Easter', 'break', 'from', '9', 'to', '13', 'April', '2020', '.']",['EMA announced that essential work to combat the COVID-19 pandemic would continue during the Agency’s Easter break from 9 to 13 April 2020.']
Availability of medicines during COVID-19 pandemic,https://www.ema.europa.eu/en/human-regulatory/overview/public-health-threats/coronavirus-disease-covid-19/availability-medicines-during-covid-19-pandemic,"EMA announced new EU-level measures to help prevent and mitigate supply issues with medicines used to treat COVID-19 patients. These include enhanced coordination with the pharmaceutical industry in monitoring supply issues and regulatory actions to support companies in increasing the available supply of critical medicines. During this extraordinary health crisis, EMA will act as the central EU coordinator, supporting Member States' activities in preventing and mitigating supply issues.",6 April,EU authorities agree new measures to support availability of medicines used in the COVID-19 pandemic (06/04/2020),"['Availability', 'of', 'medicine', 'during', 'COVID-19', 'pandemic']","['EMA', 'announce', 'new', 'EU-level', 'measure', 'to', 'help', 'prevent', 'and', 'mitigate', 'supply', 'issue', 'with', 'medicine', 'use', 'to', 'treat', 'COVID-19', 'patient', '.', 'These', 'include', 'enhance', 'coordination', 'with', 'the', 'pharmaceutical', 'industry', 'in', 'monitor', 'supply', 'issue', 'and', 'regulatory', 'action', 'to', 'support', 'company', 'in', 'increase', 'the', 'available', 'supply', 'of', 'critical', 'medicine', '.', 'During', 'this', 'extraordinary', 'health', 'crisis', ',', 'EMA', 'will', 'act', 'a', 'the', 'central', 'EU', 'coordinator', ',', 'support', 'Member', 'States', ""'"", 'activity', 'in', 'prevent', 'and', 'mitigate', 'supply', 'issue', '.']","['EMA announced new EU-level measures to help prevent and mitigate supply issues with medicines used to treat COVID-19 patients.', 'These include enhanced coordination with the pharmaceutical industry in monitoring supply issues and regulatory actions to support companies in increasing the available supply of critical medicines.', ""During this extraordinary health crisis, EMA will act as the central EU coordinator, supporting Member States' activities in preventing and mitigating supply issues.""]"
Treatments and vaccines for COVID-19,https://www.ema.europa.eu/en/human-regulatory/overview/public-health-threats/coronavirus-disease-covid-19/treatments-vaccines-covid-19,EMA’s human medicines committee (CHMP) gave recommendations on how the investigational antiviral medicine remdesivir should be used in compassionate use programmes across Europe when treating COVID-19 patients who are not eligible for inclusion in clinical trials. These recommendations aim to ensure a harmonised approach across EU Member States. They also explain which group of patients may benefit from treatment and provide preliminary information on the medicine’s safety.,3 April,EMA provides recommendations on compassionate use of remdesivir for COVID-19 (03/04/2020),"['Treatments', 'and', 'vaccine', 'for', 'COVID-19']","['EMA', '’', 's', 'human', 'medicine', 'committee', '(', 'CHMP', ')', 'give', 'recommendation', 'on', 'how', 'the', 'investigational', 'antiviral', 'medicine', 'remdesivir', 'should', 'be', 'use', 'in', 'compassionate', 'use', 'programme', 'across', 'Europe', 'when', 'treat', 'COVID-19', 'patient', 'who', 'be', 'not', 'eligible', 'for', 'inclusion', 'in', 'clinical', 'trial', '.', 'These', 'recommendation', 'aim', 'to', 'ensure', 'a', 'harmonise', 'approach', 'across', 'EU', 'Member', 'States', '.', 'They', 'also', 'explain', 'which', 'group', 'of', 'patient', 'may', 'benefit', 'from', 'treatment', 'and', 'provide', 'preliminary', 'information', 'on', 'the', 'medicine', '’', 's', 'safety', '.']","['EMA’s human medicines committee (CHMP) gave recommendations on how the investigational antiviral medicine remdesivir should be used in compassionate use programmes across Europe when treating COVID-19 patients who are not eligible for inclusion in clinical trials.', 'These recommendations aim to ensure a harmonised approach across EU Member States.', 'They also explain which group of patients may benefit from treatment and provide preliminary information on the medicine’s safety.']"
International Coalition of Medicines Regulatory Authorities (ICMRA),https://www.ema.europa.eu/en/partners-networks/international-activities/multilateral-organisations-initiatives/international-coalition-medicines-regulatory-authorities-icmra,EMA and the Japanese Pharmaceuticals and Medical Devices Agency (PMDA) jointly chaired the second global regulatory workshop on Thursday 2 April under the umbrella of the International Coalition of Medicines Regulatory Authorities (ICMRA). The participants discussed the progress made in the development of potential COVID-19 treatments and reaffirmed the need for large clinical trials to generate conclusive evidence on which treatments work. ICMRA will publish a summary report of the meeting shortly.,3 April,International regulators discuss available knowledge supporting COVID-19 medicine development  (03/04/2020),"['International', 'Coalition', 'of', 'Medicines', 'Regulatory', 'Authorities', '(', 'ICMRA', ')']","['EMA', 'and', 'the', 'Japanese', 'Pharmaceuticals', 'and', 'Medical', 'Devices', 'Agency', '(', 'PMDA', ')', 'jointly', 'chair', 'the', 'second', 'global', 'regulatory', 'workshop', 'on', 'Thursday', '2', 'April', 'under', 'the', 'umbrella', 'of', 'the', 'International', 'Coalition', 'of', 'Medicines', 'Regulatory', 'Authorities', '(', 'ICMRA', ')', '.', 'The', 'participant', 'discuss', 'the', 'progress', 'make', 'in', 'the', 'development', 'of', 'potential', 'COVID-19', 'treatment', 'and', 'reaffirm', 'the', 'need', 'for', 'large', 'clinical', 'trial', 'to', 'generate', 'conclusive', 'evidence', 'on', 'which', 'treatment', 'work', '.', 'ICMRA', 'will', 'publish', 'a', 'summary', 'report', 'of', 'the', 'meet', 'shortly', '.']","['EMA and the Japanese Pharmaceuticals and Medical Devices Agency (PMDA) jointly chaired the second global regulatory workshop on Thursday 2 April under the umbrella of the International Coalition of Medicines Regulatory Authorities (ICMRA).', 'The participants discussed the progress made in the development of potential COVID-19 treatments and reaffirmed the need for large clinical trials to generate conclusive evidence on which treatments work.', 'ICMRA will publish a summary report of the meeting shortly.']"
Public-health advice during COVID-19 pandemic,https://www.ema.europa.eu/en/human-regulatory/overview/public-health-threats/coronavirus-disease-covid-19/public-health-advice-during-covid-19-pandemic,EMA advised patients and healthcare professionals to only use chloroquine and hydroxychloroquine medicines for their authorised indications or as part of clinical trials or national emergency use programmes for the treatment of COVID-19. This is to ensure patient safety and the best use of available supplies.,1 April,COVID-19: chloroquine and hydroxychloroquine only to be used in clinical trials or emergency use programmes (01/04/2020),"['Public-health', 'advice', 'during', 'COVID-19', 'pandemic']","['EMA', 'advise', 'patient', 'and', 'healthcare', 'professional', 'to', 'only', 'use', 'chloroquine', 'and', 'hydroxychloroquine', 'medicine', 'for', 'their', 'authorise', 'indication', 'or', 'a', 'part', 'of', 'clinical', 'trial', 'or', 'national', 'emergency', 'use', 'programme', 'for', 'the', 'treatment', 'of', 'COVID-19', '.', 'This', 'be', 'to', 'ensure', 'patient', 'safety', 'and', 'the', 'best', 'use', 'of', 'available', 'supply', '.']","['EMA advised patients and healthcare professionals to only use chloroquine and hydroxychloroquine medicines for their authorised indications or as part of clinical trials or national emergency use programmes for the treatment of COVID-19.', 'This is to ensure patient safety and the best use of available supplies.']"
Treatments and vaccines for COVID-19,https://www.ema.europa.eu/en/human-regulatory/overview/public-health-threats/coronavirus-disease-covid-19/treatments-vaccines-covid-19,EMA announced that it has held discussions with developers of around 40 potential treatments and a dozen vaccines against COVID-19. No potential COVID-19 treatments had demonstrated efficacy based on the preliminary data available. EMA welcomes the launch of large clinical trials to test promising treatments and to generate conclusive evidence. Two vaccines had already entered phase I clinical trials. EMA estimated that it might take at least a year before a vaccine is ready for approval and available in sufficient quantities to enable widespread use.,31 Match,Update on treatments and vaccines against COVID-19 under development  (31/03/2020),"['Treatments', 'and', 'vaccine', 'for', 'COVID-19']","['EMA', 'announce', 'that', 'it', 'ha', 'hold', 'discussion', 'with', 'developer', 'of', 'around', '40', 'potential', 'treatment', 'and', 'a', 'dozen', 'vaccine', 'against', 'COVID-19', '.', 'No', 'potential', 'COVID-19', 'treatment', 'have', 'demonstrate', 'efficacy', 'base', 'on', 'the', 'preliminary', 'data', 'available', '.', 'EMA', 'welcome', 'the', 'launch', 'of', 'large', 'clinical', 'trial', 'to', 'test', 'promise', 'treatment', 'and', 'to', 'generate', 'conclusive', 'evidence', '.', 'Two', 'vaccine', 'have', 'already', 'enter', 'phase', 'I', 'clinical', 'trial', '.', 'EMA', 'estimate', 'that', 'it', 'might', 'take', 'at', 'least', 'a', 'year', 'before', 'a', 'vaccine', 'be', 'ready', 'for', 'approval', 'and', 'available', 'in', 'sufficient', 'quantity', 'to', 'enable', 'widespread', 'use', '.']","['EMA announced that it has held discussions with developers of around 40 potential treatments and a dozen vaccines against COVID-19.', 'No potential COVID-19 treatments had demonstrated efficacy based on the preliminary data available.', 'EMA welcomes the launch of large clinical trials to test promising treatments and to generate conclusive evidence.', 'Two vaccines had already entered phase I clinical trials.', 'EMA estimated that it might take at least a year before a vaccine is ready for approval and available in sufficient quantities to enable widespread use.']"
Certification of medicinal products,https://www.ema.europa.eu/en/human-regulatory/post-authorisation/certification-medicinal-products,EMA started issuing certificates that are signed and authenticated electronically in place of paper certificates. This applies to all ongoing and future requests for certificates during the COVID-19 pandemic.,30 March,EMA to issue electronic certificates for medicines (30/03/2020),"['Certification', 'of', 'medicinal', 'product']","['EMA', 'start', 'issue', 'certificate', 'that', 'be', 'sign', 'and', 'authenticate', 'electronically', 'in', 'place', 'of', 'paper', 'certificate', '.', 'This', 'apply', 'to', 'all', 'ongoing', 'and', 'future', 'request', 'for', 'certificate', 'during', 'the', 'COVID-19', 'pandemic', '.']","['EMA started issuing certificates that are signed and authenticated electronically in place of paper certificates.', 'This applies to all ongoing and future requests for certificates during the COVID-19 pandemic.']"
Guidance for medicine developers and companies on COVID-19,https://www.ema.europa.eu/en/human-regulatory/overview/public-health-threats/coronavirus-disease-covid-19/guidance-medicine-developers-companies-covid-19,"EMA, the European Commission and the Heads of Medicines Agencies updated the Guidance on the management of clinical trials during the COVID-19 (coronavirus) pandemic to cover safety reporting, the distribution of in-vitro diagnostics, medical devices and auditing. The updated guidance also incorporates changes in other sections, in particular on communicating with authorities, informed consent and the distribution of investigational medicines.",27 March, ,"['Guidance', 'for', 'medicine', 'developer', 'and', 'company', 'on', 'COVID-19']","['EMA', ',', 'the', 'European', 'Commission', 'and', 'the', 'Heads', 'of', 'Medicines', 'Agencies', 'update', 'the', 'Guidance', 'on', 'the', 'management', 'of', 'clinical', 'trial', 'during', 'the', 'COVID-19', '(', 'coronavirus', ')', 'pandemic', 'to', 'cover', 'safety', 'report', ',', 'the', 'distribution', 'of', 'in-vitro', 'diagnostics', ',', 'medical', 'device', 'and', 'audit', '.', 'The', 'update', 'guidance', 'also', 'incorporate', 'change', 'in', 'other', 'section', ',', 'in', 'particular', 'on', 'communicate', 'with', 'authority', ',', 'inform', 'consent', 'and', 'the', 'distribution', 'of', 'investigational', 'medicine', '.']","['EMA, the European Commission and the\xa0Heads of Medicines Agencies\xa0updated the\xa0Guidance on the management of clinical trials during the COVID-19 (coronavirus) pandemic\xa0to cover\xa0safety reporting, the distribution of in-vitro diagnostics, medical devices and auditing.', 'The updated guidance also incorporates changes in other sections, in particular on communicating with authorities, informed consent and the distribution of investigational medicines.']"
Public-health advice during COVID-19 pandemic,https://www.ema.europa.eu/en/human-regulatory/overview/public-health-threats/coronavirus-disease-covid-19/public-health-advice-during-covid-19-pandemic,"EMA advised patients and healthcare professionals that angiotensin converting enzyme (ACE) inhibitors and angiotensin receptor blockers (ARBs, or sartan medicines) can continue to be used to treat high blood pressure, heart failure or kidney disease during the COVID-19 pandemic. There is currently no evidence from clinical or epidemiological studies that establishes a link between these medicines and worsening of COVID-19. Patients taking these medicines should not interrupt their treatment without speaking to their doctor or pharmacist first. EMA will keep its information on new COVID-19-related treatment recommendations up to date.",27 March,"EMA advises continued use of medicines for hypertension, heart or kidney disease during COVID-19 pandemic (27/03/2020)","['Public-health', 'advice', 'during', 'COVID-19', 'pandemic']","['EMA', 'advise', 'patient', 'and', 'healthcare', 'professional', 'that', 'angiotensin', 'convert', 'enzyme', '(', 'ACE', ')', 'inhibitor', 'and', 'angiotensin', 'receptor', 'blocker', '(', 'ARBs', ',', 'or', 'sartan', 'medicine', ')', 'can', 'continue', 'to', 'be', 'use', 'to', 'treat', 'high', 'blood', 'pressure', ',', 'heart', 'failure', 'or', 'kidney', 'disease', 'during', 'the', 'COVID-19', 'pandemic', '.', 'There', 'be', 'currently', 'no', 'evidence', 'from', 'clinical', 'or', 'epidemiological', 'study', 'that', 'establish', 'a', 'link', 'between', 'these', 'medicine', 'and', 'worsen', 'of', 'COVID-19', '.', 'Patients', 'take', 'these', 'medicine', 'should', 'not', 'interrupt', 'their', 'treatment', 'without', 'speak', 'to', 'their', 'doctor', 'or', 'pharmacist', 'first', '.', 'EMA', 'will', 'keep', 'it', 'information', 'on', 'new', 'COVID-19-related', 'treatment', 'recommendation', 'up', 'to', 'date', '.']","['EMA advised patients and healthcare professionals that angiotensin converting enzyme (ACE) inhibitors and angiotensin receptor blockers (ARBs, or sartan medicines) can continue to be used to treat high blood pressure, heart failure or kidney disease during the COVID-19 pandemic.', 'There is currently no evidence from clinical or epidemiological studies that establishes a link between these medicines and worsening of COVID-19.', 'Patients taking these medicines should not interrupt their treatment without speaking to their doctor or pharmacist first.', 'EMA will keep its information on new COVID-19-related treatment recommendations up to date.']"
