Type,Title,Link,Authors,Abstract,PublishedDate,Availability,lemmas_title,lemmas_abstract
Correspondence,Subclinical Covid-19 in South Korea,/doi/full/10.1056/NEJMc2001801?query=featured_coronavirus,J.-Y. Song and Others,"Among 28 early confirmed cases of Covid-19 in South Korea, diagnosis was delayed in 11 patients because of subclinical symptoms and diverse initial manifestations. Covid-19 was diagnosed by surveillance testing in 3 patients who were asymptomatic.",Apr 06,,"['Subclinical', 'Covid-19', 'South', 'Korea']","['Among', '28', 'early', 'confirm', 'case', 'Covid-19', 'South', 'Korea,', 'diagnosis', 'delay', '11', 'patients', 'subclinical', 'symptoms', 'diverse', 'initial', 'manifestations.', 'Covid-19', 'diagnose', 'surveillance', 'test', '3', 'patients', 'asymptomatic.']"
Correspondence,Covid-19 in New York City,/doi/full/10.1056/NEJMc2010419?query=featured_coronavirus,P. Goyal and Others,"In this series of 393 consecutive patients admitted with Covid-19 to two New York City hospitals from March 3 to March 27, a third of patients received invasive mechanical ventilation, 10% of patients died, and 24% were still hospitalized as of April 10.",Apr 17,,"['Covid-19', 'New', 'York', 'City']","['In', 'series', '393', 'consecutive', 'patients', 'admit', 'Covid-19', 'two', 'New', 'York', 'City', 'hospitals', 'March', '3', 'March', '27,', 'third', 'patients', 'receive', 'invasive', 'mechanical', 'ventilation,', '10%', 'patients', 'died,', '24%', 'still', 'hospitalize', 'April', '10.']"
Medicine and Society,The Untold Toll,/doi/full/10.1056/NEJMms2009984?query=featured_coronavirus,L. Rosenbaum,"As the pandemic focuses medical attention on treating affected patients and protecting others from infection, how do we best care for people with non-Covid disease? Some physicians predict that “the toll on non-Covid patients will be much greater than Covid deaths.”",Apr 17,,"['The', 'Untold', 'Toll']","['As', 'pandemic', 'focus', 'medical', 'attention', 'treat', 'affect', 'patients', 'protect', 'others', 'infection,', 'best', 'care', 'people', 'non-Covid', 'disease?', 'Some', 'physicians', 'predict', '“the', 'toll', 'non-Covid', 'patients', 'much', 'greater', 'Covid', 'deaths.”']"
Original Article,Oral Lopinavir–Ritonavir for Severe Covid-19,/doi/full/10.1056/NEJMoa2001282?query=featured_coronavirus,B. Cao and Others,"Investigators in China report the results of an open-label, randomized clinical trial of lopinavir–ritonavir for the treatment of Covid-19 in 199 infected adult patients. The primary end point was the time to clinical improvement.",Mar 18,,"['Oral', 'Lopinavir–Ritonavir', 'Severe', 'Covid-19']","['Investigators', 'China', 'report', 'result', 'open-label,', 'randomize', 'clinical', 'trial', 'lopinavir–ritonavir', 'treatment', 'Covid-19', '199', 'infect', 'adult', 'patients.', 'The', 'primary', 'end', 'point', 'time', 'clinical', 'improvement.']"
Perspective,Drug Evaluation during the Covid-19 Pandemic,/doi/full/10.1056/NEJMp2009457?query=featured_coronavirus,B.N. Rome and J. Avorn,"The search for a treatment for Covid-19 is testing our country’s ability to quickly develop, test, and deploy medications, and several aspects of the U.S. response highlight how the processes for evaluating and approving drugs can go awry during a public health crisis.",Apr 14,,"['Drug', 'Evaluation', 'Covid-19', 'Pandemic']","['The', 'search', 'treatment', 'Covid-19', 'test', 'country’s', 'ability', 'quickly', 'develop,', 'test,', 'deploy', 'medications,', 'several', 'aspects', 'U.S.', 'response', 'highlight', 'process', 'evaluate', 'approve', 'drug', 'go', 'awry', 'public', 'health', 'crisis.']"
Original Article,Compassionate-Use Remdesivir for Severe Covid-19,/doi/full/10.1056/NEJMoa2007016?query=featured_coronavirus,J. Grein and Others,"A cohort of patients with severe Covid-19 received treatment with remdesivir under a compassionate-use protocol. Improvement in oxygen-support status was observed in 68% of patients, and overall mortality was 13% over a median follow-up of 18 days.",Apr 10,,"['Compassionate-Use', 'Remdesivir', 'Severe', 'Covid-19']","['A', 'cohort', 'patients', 'severe', 'Covid-19', 'receive', 'treatment', 'remdesivir', 'compassionate-use', 'protocol.', 'Improvement', 'oxygen-support', 'status', 'observe', '68%', 'patients,', 'overall', 'mortality', '13%', 'median', 'follow-up', '18', 'days.']"
Correspondence,Aerosol and Surface Stability of SARS-CoV-2,/doi/full/10.1056/NEJMc2004973?query=featured_coronavirus,N. van Doremalen and Others,"In this research letter, investigators report on the stability of SARS-CoV-2 and SARS-CoV-1 under experimental conditions. The viability of the two viruses was assessed in aerosols and on plastic, stainless steel, copper, and cardboard.",Apr 16,,"['Aerosol', 'Surface', 'Stability', 'SARS-CoV-2']","['In', 'research', 'letter,', 'investigators', 'report', 'stability', 'SARS-CoV-2', 'SARS-CoV-1', 'experimental', 'conditions.', 'The', 'viability', 'two', 'viruses', 'assess', 'aerosols', 'plastic,', 'stainless', 'steel,', 'copper,', 'cardboard.']"
Correspondence,Oral Fluid Droplets Generated during Speech,/doi/full/10.1056/NEJMc2007800?query=featured_coronavirus,P. Anfinrud and Others,"In this experiment, investigators used a laser in a darkened box to visualize droplets that were generated during speech. The droplets decreased in number with lower-amplitude speech and were almost eliminated when the speaker’s mouth was covered with a damp cloth (shown in a video).",Apr 15,,"['Oral', 'Fluid', 'Droplets', 'Generated', 'Speech']","['In', 'experiment,', 'investigators', 'use', 'laser', 'darken', 'box', 'visualize', 'droplets', 'generate', 'speech.', 'The', 'droplets', 'decrease', 'number', 'lower-amplitude', 'speech', 'almost', 'eliminate', 'speaker’s', 'mouth', 'cover', 'damp', 'cloth', '(shown', 'video).']"
Correspondence,Aerosols and Transmission of SARS-CoV-2,/doi/full/10.1056/NEJMc2009324?query=featured_coronavirus,M. Meselson,"With reference to a letter about the use of laser light scattering to visualize droplets that emanate during speech, this author describes the nature of aerosols and their potential for transmission of SARS-CoV-2.",Apr 15,,"['Aerosols', 'Transmission', 'SARS-CoV-2']","['With', 'reference', 'letter', 'use', 'laser', 'light', 'scatter', 'visualize', 'droplets', 'emanate', 'speech,', 'author', 'describe', 'nature', 'aerosols', 'potential', 'transmission', 'SARS-CoV-2.']"
Correspondence,SARS-CoV-2 Testing in Obstetrical Patients,/doi/full/10.1056/NEJMc2009316?query=featured_coronavirus,D. Sutton and Others,"Among 215 pregnant women who were admitted to a New York hospital for delivery and who underwent universal testing for SARS-CoV-2, more than one of eight asymptomatic women had positive results, and most of the women with Covid-19 were asymptomatic.",Apr 13,,"['SARS-CoV-2', 'Testing', 'Obstetrical', 'Patients']","['Among', '215', 'pregnant', 'women', 'admit', 'New', 'York', 'hospital', 'delivery', 'undergo', 'universal', 'test', 'SARS-CoV-2,', 'one', 'eight', 'asymptomatic', 'women', 'positive', 'results,', 'women', 'Covid-19', 'asymptomatic.']"
Correspondence,"Pregnant Women with Covid-19 in Wuhan, China",/doi/full/10.1056/NEJMc2009226?query=featured_coronavirus,L. Chen and Others,"Among 118 pregnant women with Covid-19 in Wuhan, China, the vast majority had a mild course of disease.",Apr 17,,"['Pregnant', 'Women', 'Covid-19', 'Wuhan,', 'China']","['Among', '118', 'pregnant', 'women', 'Covid-19', 'Wuhan,', 'China,', 'vast', 'majority', 'mild', 'course', 'disease.']"
Correspondence,Late-Onset Neonatal Sepsis with Covid-19,/doi/full/10.1056/NEJMc2010614?query=featured_coronavirus,A. Coronado Munoz and Others,"The condition of a 3-week-old boy with nasal congestion, tachypnea, and reduced feeding deteriorated, and he underwent intubation and received hemodynamic support in the pediatric intensive care unit. Chest radiography showed bilateral linear opacities, and a nasal swab was positive for SARS-CoV-2.",Apr 22,,"['Late-Onset', 'Neonatal', 'Sepsis', 'Covid-19']","['The', 'condition', '3-week-old', 'boy', 'nasal', 'congestion,', 'tachypnea,', 'reduce', 'feed', 'deteriorated,', 'undergo', 'intubation', 'receive', 'hemodynamic', 'support', 'pediatric', 'intensive', 'care', 'unit.', 'Chest', 'radiography', 'show', 'bilateral', 'linear', 'opacities,', 'nasal', 'swab', 'positive', 'SARS-CoV-2.']"
Correspondence,Uncomplicated Delivery in a Patient with Covid-19,/doi/full/10.1056/NEJMc2007605?query=featured_coronavirus,S.N. Iqbal and Others,"The peripartum care of a woman with Covid-19 at 39 weeks of gestation is described. The woman and the neonate were discharged home on hospital day 6. Care was taken to avoid infecting hospital staff, and 7 days after the delivery, no caregivers appeared to be infected.",Apr 16,,"['Uncomplicated', 'Delivery', 'Patient', 'Covid-19']","['The', 'peripartum', 'care', 'woman', 'Covid-19', '39', 'weeks', 'gestation', 'described.', 'The', 'woman', 'neonate', 'discharge', 'home', 'hospital', 'day', '6.', 'Care', 'take', 'avoid', 'infect', 'hospital', 'staff,', '7', 'days', 'delivery,', 'caregivers', 'appear', 'infected.']"
Perspective,Harnessing Our Humanity,/doi/full/10.1056/NEJMp2007466?query=featured_coronavirus,L. Rosenbaum,"As the Covid-19 pandemic spreads, we’ll continue to be plagued by resource constraints that will compromise our ability to protect ourselves, our patients, and our communities. But as Washington’s response reminds us, the professional spirit marches on, unconstrained.",Apr 01,,"['Harnessing', 'Our', 'Humanity']","['As', 'Covid-19', 'pandemic', 'spreads,', 'we’ll', 'continue', 'plague', 'resource', 'constraints', 'compromise', 'ability', 'protect', 'ourselves,', 'patients,', 'communities.', 'But', 'Washington’s', 'response', 'remind', 'us,', 'professional', 'spirit', 'march', 'on,', 'unconstrained.']"
Perspective,Critical Supply Shortages,/doi/full/10.1056/NEJMp2006141?query=featured_coronavirus,"M.L. Ranney, V. Griffeth, and A.K. Jha","U.S. hospitals are already reporting shortages of key equipment needed to care for critically ill patients with Covid-19, including ventilators and personal protective equipment for medical staff. Adequate production and distribution of this equipment is crucial.",Mar 25,,"['Critical', 'Supply', 'Shortages']","['U.S.', 'hospitals', 'already', 'report', 'shortages', 'key', 'equipment', 'need', 'care', 'critically', 'ill', 'patients', 'Covid-19,', 'include', 'ventilators', 'personal', 'protective', 'equipment', 'medical', 'staff.', 'Adequate', 'production', 'distribution', 'equipment', 'crucial.']"
Correspondence,Protective Shield for Intubation,/doi/full/10.1056/NEJMc2007589?query=featured_coronavirus,R. Canelli and Others,A four-sided plexiglass box with access holes for an operator was used to provide additional protection for an operator performing intubation. The box reduced the amount of material expelled from a simulated patient cough that ended up on the operator. This letter is accompanied by a video showing the simulation.,Apr 03,,"['Protective', 'Shield', 'Intubation']","['A', 'four-sided', 'plexiglass', 'box', 'access', 'hole', 'operator', 'use', 'provide', 'additional', 'protection', 'operator', 'perform', 'intubation.', 'The', 'box', 'reduce', 'amount', 'material', 'expel', 'simulate', 'patient', 'cough', 'end', 'operator.', 'This', 'letter', 'accompany', 'video', 'show', 'simulation.']"
Original Article,Covid-19 Outbreak at a Long-Term Care Facility,/doi/full/10.1056/NEJMoa2005412?query=featured_coronavirus,T.M. McMichael and Others,"On February 28, 2020, public health officials in the Seattle area were informed of a Covid-19 infection at a long-term care facility. An investigation identified 167 infected persons associated with the facility, including residents, health care personnel, and visitors; more than a third of the 101 residents identified died.",Mar 27,,"['Covid-19', 'Outbreak', 'Long-Term', 'Care', 'Facility']","['On', 'February', '28,', '2020,', 'public', 'health', 'officials', 'Seattle', 'area', 'inform', 'Covid-19', 'infection', 'long-term', 'care', 'facility.', 'An', 'investigation', 'identify', '167', 'infect', 'persons', 'associate', 'facility,', 'include', 'residents,', 'health', 'care', 'personnel,', 'visitors;', 'third', '101', 'residents', 'identify', 'died.']"
Original Article,First U.S. Confirmed Case of 2019-nCoV Infection,/doi/full/10.1056/NEJMoa2001191?query=featured_coronavirus,M.L. Holshue and Others,"A healthy 35 year-old man who had visited Wuhan, China, presented with cough and fever that progressed to pneumonia. This report describes the diagnosis, clinical course, and management of the condition. The case highlights the importance of close coordination between clinicians and public health authorities at the local, state, and federal levels.",Mar 05,,"['First', 'U.S.', 'Confirmed', 'Case', '2019-nCoV', 'Infection']","['A', 'healthy', '35', 'year-old', 'man', 'visit', 'Wuhan,', 'China,', 'present', 'cough', 'fever', 'progress', 'pneumonia.', 'This', 'report', 'describe', 'diagnosis,', 'clinical', 'course,', 'management', 'condition.', 'The', 'case', 'highlight', 'importance', 'close', 'coordination', 'clinicians', 'public', 'health', 'authorities', 'local,', 'state,', 'federal', 'levels.']"
Original Article,"Covid-19 — Early ICU Experience, Seattle",/doi/full/10.1056/NEJMoa2004500?query=featured_coronavirus,P.K. Bhatraju and Others,"Clinicians and investigators report on the first 24 patients admitted to ICUs from nine Seattle area hospitals. Key aspects of the clinical presentation, treatment, and outcomes are described.",Mar 30,,"['Covid-19', '—', 'Early', 'ICU', 'Experience,', 'Seattle']","['Clinicians', 'investigators', 'report', 'first', '24', 'patients', 'admit', 'ICUs', 'nine', 'Seattle', 'area', 'hospitals.', 'Key', 'aspects', 'clinical', 'presentation,', 'treatment,', 'outcomes', 'described.']"
Original Article,Characteristics of Covid-19 in China,/doi/full/10.1056/NEJMoa2002032,W. Guan and Others,"In this study, researchers describe the clinical characteristics of coronavirus disease 2019 in a selected cohort of 1099 patients with laboratory-confirmed disease throughout mainland China during the first 2 months of the current outbreak.",Feb 28,,"['Characteristics', 'Covid-19', 'China']","['In', 'study,', 'researchers', 'describe', 'clinical', 'characteristics', 'coronavirus', 'disease', '2019', 'select', 'cohort', '1099', 'patients', 'laboratory-confirmed', 'disease', 'throughout', 'mainland', 'China', 'first', '2', 'months', 'current', 'outbreak.']"
Original Article,Early Transmission Dynamics of 2019-nCoV,/doi/full/10.1056/NEJMoa2001316,Q. Li and Others,"The authors provide an epidemiologic analysis of the first 425 confirmed cases of infection with the novel coronavirus in Wuhan, China. This analysis provides estimates of the epidemic doubling time and the basic reproductive number and shows clear evidence of sustained human-to-human transmission.",Mar 26,,"['Early', 'Transmission', 'Dynamics', '2019-nCoV']","['The', 'author', 'provide', 'epidemiologic', 'analysis', 'first', '425', 'confirm', 'case', 'infection', 'novel', 'coronavirus', 'Wuhan,', 'China.', 'This', 'analysis', 'provide', 'estimate', 'epidemic', 'double', 'time', 'basic', 'reproductive', 'number', 'show', 'clear', 'evidence', 'sustain', 'human-to-human', 'transmission.']"
Original Article,A Novel Coronavirus in China,/doi/full/10.1056/NEJMoa2001017,N. Zhu and Others,"The authors report the emergence and isolation of a previously unknown betacoronavirus, the seventh member of the family of coronaviruses that infect humans, in Wuhan, China. Findings in three patients are described.",Feb 20,,"['A', 'Novel', 'Coronavirus', 'China']","['The', 'author', 'report', 'emergence', 'isolation', 'previously', 'unknown', 'betacoronavirus,', 'seventh', 'member', 'family', 'coronaviruses', 'infect', 'humans,', 'Wuhan,', 'China.', 'Findings', 'three', 'patients', 'described.']"
Correspondence,SARS-CoV-2 Infection in Travelers Returning from Wuhan,/doi/full/10.1056/NEJMc2003100,O.-T. Ng and Others,"Data on travelers returning from areas with many cases of Covid-19 may be useful in estimating incidence. The authors report follow-up data on 94 persons who boarded an evacuation flight from Wuhan, China, to Singapore on January 30, 2020.",Mar 12,,"['SARS-CoV-2', 'Infection', 'Travelers', 'Returning', 'Wuhan']","['Data', 'travelers', 'return', 'areas', 'many', 'case', 'Covid-19', 'may', 'useful', 'estimate', 'incidence.', 'The', 'author', 'report', 'follow-up', 'data', '94', 'persons', 'board', 'evacuation', 'flight', 'Wuhan,', 'China,', 'Singapore', 'January', '30,', '2020.']"
Correspondence,"Children with Covid-19 in Wuhan, China",/doi/full/10.1056/NEJMc2003717,W. Liu and Others,"A retrospective analysis of routine surveillance data involving children hospitalized in central Wuhan, China, for acute lower respiratory infection in early January 2020 revealed six cases of Covid-19. The authors report clinical characteristics of the children and laboratory data.",Mar 12,,"['Children', 'Covid-19', 'Wuhan,', 'China']","['A', 'retrospective', 'analysis', 'routine', 'surveillance', 'data', 'involve', 'children', 'hospitalize', 'central', 'Wuhan,', 'China,', 'acute', 'lower', 'respiratory', 'infection', 'early', 'January', '2020', 'reveal', 'six', 'case', 'Covid-19.', 'The', 'author', 'report', 'clinical', 'characteristics', 'children', 'laboratory', 'data.']"
Correspondence,SARS-CoV-2 Infection in Children,/doi/full/10.1056/NEJMc2005073,X. Lu and Others,"In this report, investigators in Wuhan, China, describe the spectrum of Covid-19 illness in children under the age of 16 years. Of 1391 children assessed and tested over a period of 4 weeks, 171 (12.3%) were confirmed to have SARS-CoV-2 infection.",Mar 18,,"['SARS-CoV-2', 'Infection', 'Children']","['In', 'report,', 'investigators', 'Wuhan,', 'China,', 'describe', 'spectrum', 'Covid-19', 'illness', 'children', 'age', '16', 'years.', 'Of', '1391', 'children', 'assess', 'test', 'period', '4', 'weeks,', '171', '(12.3%)', 'confirm', 'SARS-CoV-2', 'infection.']"
Editorial,NEJM Covid-19 Update,https://interactives.nejm.org/iv/playlist_branded/index.html?media_id=chsWAwUH,,Listen to conversations with editors Eric Rubin and Lindsey Baden on the current coronavirus outbreak.,,,"['NEJM', 'Covid-19', 'Update']","['Listen', 'conversations', 'editors', 'Eric', 'Rubin', 'Lindsey', 'Baden', 'current', 'coronavirus', 'outbreak.']"
IMAGES IN CLINICAL MEDICINE,A Sneeze,https://www.nejm.org/doi/full/10.1056/NEJMicm1501197,,This video captures the emission of a sneeze cloud. The largest droplets rapidly settle within 1 to 2 m away from the person. The smaller and evaporating droplets can travel the dimensions of a room and land up to 6 to 8 m away.,,,"['A', 'Sneeze']","['This', 'video', 'capture', 'emission', 'sneeze', 'cloud.', 'The', 'largest', 'droplets', 'rapidly', 'settle', 'within', '1', '2', 'away', 'person.', 'The', 'smaller', 'evaporate', 'droplets', 'travel', 'dimension', 'room', 'land', '6', '8', 'away.']"
IMAGES IN CLINICAL MEDICINE,Coughing and Aerosols,https://www.nejm.org/doi/full/10.1056/NEJMicm072576,,"Sequential schlieren images during a cough, shown in a video, were recorded at 3000 frames per second. A maximum airspeed of 8 m per second (18 mph) was observed, averaged during the half-second cough.",,,"['Coughing', 'Aerosols']","['Sequential', 'schlieren', 'image', 'cough,', 'show', 'video,', 'record', '3000', 'frame', 'per', 'second.', 'A', 'maximum', 'airspeed', '8', 'per', 'second', '(18', 'mph)', 'observed,', 'average', 'half-second', 'cough.']"
NEJM Resident 360,COVID-19 Interactive Case,,,This interactive case presents a new patient with a history characteristic of COVID-19. It explains management of the associated hypoxemia and the laboratory and imaging studies. Test your knowledge and learn more about this disease.,,,"['COVID-19', 'Interactive', 'Case']","['This', 'interactive', 'case', 'present', 'new', 'patient', 'history', 'characteristic', 'COVID-19.', 'It', 'explain', 'management', 'associate', 'hypoxemia', 'laboratory', 'image', 'studies.', 'Test', 'knowledge', 'learn', 'disease.']"
